Interval Data Recording,
,,,,,
Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh
61056,2037/10/30 04:08:01 AM,1268929.87,1327872.12,1267444.12,3864246.00
61057,2037/10/30 04:23:01 AM,1268948.50,1327893.00,1267463.62,3864305.00
61058,2037/10/30 04:38:02 AM,1268969.12,1327915.62,1267485.37,3864370.00
61059,2037/10/30 04:53:02 AM,1268987.87,1327936.62,1267505.37,3864430.00
61060,2037/10/30 05:08:03 AM,1269006.25,1327957.25,1267524.62,3864488.00
61061,2037/10/30 05:23:03 AM,1269024.75,1327977.87,1267544.25,3864546.75
61062,2037/10/30 05:38:03 AM,1269044.75,1328000.00,1267565.62,3864610.50
61063,2037/10/30 05:53:04 AM,1269064.87,1328022.50,1267586.62,3864674.00
61064,2037/10/30 06:08:04 AM,1269082.75,1328042.50,1267605.37,3864730.50
61065,2037/10/30 06:23:05 AM,1269101.25,1328063.00,1267624.62,3864789.00
61066,2037/10/30 06:38:05 AM,1269121.12,1328084.75,1267645.62,3864851.50
61067,2037/10/30 06:53:06 AM,1269141.12,1328106.75,1267666.62,3864914.50
61068,2037/10/30 07:08:06 AM,1269161.37,1328128.87,1267688.00,3864978.25
61069,2037/10/30 07:23:07 AM,1269182.00,1328151.50,1267709.62,3865043.00
61070,2037/10/30 07:38:07 AM,1269201.87,1328173.37,1267730.37,3865105.50
61071,2037/10/30 07:53:08 AM,1269220.62,1328194.25,1267749.75,3865164.75
61072,2037/10/30 08:08:08 AM,1269240.25,1328216.00,1267770.00,3865226.25
61073,2037/10/30 08:23:09 AM,1269259.62,1328237.37,1267790.00,3865287.00
61074,2037/10/30 08:38:09 AM,1269280.12,1328259.62,1267811.37,3865351.00
61075,2037/10/30 08:53:10 AM,1269302.37,1328283.87,1267834.87,3865421.00
61076,2037/10/30 09:08:10 AM,1269322.25,1328305.50,1267855.75,3865483.50
61077,2037/10/30 09:23:11 AM,1269342.50,1328327.50,1267876.37,3865546.50
61078,2037/10/30 09:38:11 AM,1269362.37,1328349.00,1267896.87,3865608.50
61079,2037/10/30 09:53:11 AM,1269382.37,1328370.87,1267917.62,3865671.00
61080,2037/10/30 10:08:12 AM,1269402.25,1328392.62,1267938.12,3865733.00
61081,2037/10/30 10:23:12 AM,1269422.25,1328414.75,1267959.50,3865796.50
