Interval Data Recording,
,,,,,
Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh
68176,2038/01/11 09:41:31 PM,324852.66,158403.45,328854.34,812110.50
68177,2038/01/11 09:56:32 PM,324855.41,158406.14,328857.31,812118.87
68178,2038/01/11 10:11:32 PM,324856.87,158407.59,328858.97,812123.44
68179,2038/01/11 10:26:33 PM,324856.94,158407.62,328859.19,812123.75
68180,2038/01/11 10:41:33 PM,324857.00,158407.64,328859.37,812124.00
68181,2038/01/11 10:56:34 PM,324857.06,158407.66,328859.56,812124.25
68182,2038/01/11 11:11:34 PM,324857.12,158407.69,328859.75,812124.56
68183,2038/01/11 11:26:35 PM,324857.28,158407.75,328860.03,812125.06
68184,2038/01/11 11:41:35 PM,324857.47,158407.77,328860.31,812125.56
68185,2038/01/11 11:56:36 PM,324857.66,158407.78,328860.62,812126.06
68186,2038/01/12 12:11:36 AM,324857.97,158407.92,328861.06,812126.94
68187,2038/01/12 12:26:37 AM,324858.37,158408.16,328861.59,812128.12
68188,2038/01/12 12:41:37 AM,324858.78,158408.39,328862.09,812129.25
68189,2038/01/12 12:56:37 AM,324859.12,158408.58,328862.59,812130.25
68190,2038/01/12 01:11:38 AM,324859.41,158408.73,328862.97,812131.12
68191,2038/01/12 01:26:38 AM,324859.59,158408.87,328863.28,812131.75
68192,2038/01/12 01:41:39 AM,324859.87,158409.03,328863.69,812132.62
68193,2038/01/12 01:56:39 AM,324861.41,158410.48,328865.44,812137.31
68194,2038/01/12 02:11:40 AM,324873.69,158422.27,328877.72,812173.62
68195,2038/01/12 02:26:40 AM,324890.41,158438.17,328894.12,812222.69
68196,2038/01/12 02:41:41 AM,324914.78,158461.31,328917.69,812293.75
68197,2038/01/12 02:56:41 AM,324938.84,158484.14,328941.06,812364.06
68198,2038/01/12 03:11:42 AM,324963.09,158507.37,328964.50,812435.00
68199,2038/01/12 03:26:42 AM,324989.75,158533.14,328990.47,812513.37
68200,2038/01/12 03:41:43 AM,325015.03,158557.75,329015.16,812587.94
68201,2038/01/12 03:56:43 AM,325041.28,158583.45,329040.84,812665.62
68202,2038/01/12 04:11:44 AM,325066.62,158608.17,329065.75,812740.56
68203,2038/01/12 04:26:44 AM,325089.12,158630.14,329087.97,812807.25
68204,2038/01/12 04:41:45 AM,325100.19,158641.33,329099.31,812840.81
68205,2038/01/12 04:56:45 AM,325111.75,158653.00,329111.03,812875.75
68206,2038/01/12 05:11:46 AM,325122.78,158664.22,329122.44,812909.44
68207,2038/01/12 05:26:46 AM,325134.44,158675.94,329134.31,812944.69
68208,2038/01/12 05:41:47 AM,325145.81,158687.50,329145.94,812979.25
68209,2038/01/12 05:56:47 AM,325157.22,158699.14,329157.59,813014.00
68210,2038/01/12 06:11:48 AM,325168.59,158710.81,329169.34,813048.75
68211,2038/01/12 06:26:48 AM,325179.91,158722.22,329180.94,813083.06
68212,2038/01/12 06:41:49 AM,325192.22,158734.59,329193.31,813120.12
68213,2038/01/12 06:56:49 AM,325205.91,158748.42,329207.03,813161.37
68214,2038/01/12 07:11:50 AM,325220.66,158763.34,329221.84,813205.87
68215,2038/01/12 07:26:50 AM,325235.47,158778.28,329236.72,813250.50
68216,2038/01/12 07:41:51 AM,325249.94,158792.80,329251.16,813293.87
68217,2038/01/12 07:56:51 AM,325265.56,158808.53,329266.69,813340.75
68218,2038/01/12 08:11:51 AM,325281.03,158824.02,329281.97,813387.00
68219,2038/01/12 08:26:52 AM,325296.53,158839.58,329297.19,813433.31
