Interval Data Recording,
,,,,,
Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh
59936,2037/10/22 12:58:48 AM,774244.94,808337.31,849025.31,2431607.50
59937,2037/10/22 01:13:49 AM,774261.37,808355.87,849044.19,2431661.50
59938,2037/10/22 01:28:49 AM,774278.00,808374.44,849063.12,2431715.50
59939,2037/10/22 01:43:50 AM,774294.44,808393.37,849082.06,2431769.75
59940,2037/10/22 01:58:50 AM,774310.87,808411.81,849100.81,2431823.50
59941,2037/10/22 02:13:50 AM,774330.06,808431.56,849123.00,2431884.50
59942,2037/10/22 02:28:51 AM,774355.56,808453.69,849153.19,2431962.50
59943,2037/10/22 02:43:51 AM,774378.31,808474.81,849180.12,2432033.25
59944,2037/10/22 02:58:52 AM,774399.94,808495.44,849205.50,2432101.00
59945,2037/10/22 03:13:52 AM,774421.06,808515.81,849230.31,2432167.25
59946,2037/10/22 03:28:53 AM,774441.69,808535.94,849254.37,2432232.00
59947,2037/10/22 03:43:53 AM,774458.00,808554.50,849273.06,2432285.50
59948,2037/10/22 03:58:54 AM,774474.50,808573.25,849291.69,2432339.50
59949,2037/10/22 04:13:54 AM,774491.06,808591.75,849310.25,2432393.00
59950,2037/10/22 04:28:55 AM,774506.62,808609.50,849327.87,2432444.00
59951,2037/10/22 04:43:55 AM,774520.69,808625.87,849344.12,2432490.50
59952,2037/10/22 04:58:56 AM,774534.50,808641.62,849359.75,2432536.00
59953,2037/10/22 05:13:56 AM,774548.31,808657.75,849375.62,2432581.50
59954,2037/10/22 05:28:57 AM,774562.00,808673.75,849391.31,2432627.00
59955,2037/10/22 05:43:57 AM,774575.87,808689.75,849407.00,2432672.50
59956,2037/10/22 05:58:57 AM,774589.81,808705.87,849422.87,2432718.50
59957,2037/10/22 06:13:58 AM,774613.87,808727.44,849451.37,2432792.50
59958,2037/10/22 06:28:58 AM,774638.50,808749.19,849480.62,2432868.50
59959,2037/10/22 06:43:59 AM,774660.12,808769.69,849505.87,2432935.50
