Interval Data Recording,
,,,,,
Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh
53984,2037/08/21 01:52:43 AM,76879.27,65458.79,70076.77,212414.81
53985,2037/08/21 02:07:43 AM,76880.46,65459.74,70077.79,212418.00
53986,2037/08/21 02:22:44 AM,76881.66,65460.71,70078.83,212421.20
53987,2037/08/21 02:37:44 AM,76882.95,65461.74,70079.92,212424.61
53988,2037/08/21 02:52:45 AM,76884.12,65462.69,70080.94,212427.75
53989,2037/08/21 03:07:45 AM,76885.32,65463.66,70081.94,212430.92
53990,2037/08/21 03:22:46 AM,76886.50,65464.66,70082.98,212434.12
53991,2037/08/21 03:37:46 AM,76887.75,65465.66,70084.09,212437.50
53992,2037/08/21 03:52:47 AM,76888.97,65466.71,70085.20,212440.87
53993,2037/08/21 04:07:47 AM,76890.34,65467.85,70086.45,212444.62
53994,2037/08/21 04:22:47 AM,76891.56,65468.89,70087.59,212448.03
53995,2037/08/21 04:37:48 AM,76892.82,65470.02,70088.79,212451.62
53996,2037/08/21 04:52:48 AM,76894.06,65471.06,70089.93,212455.06
53997,2037/08/21 05:07:49 AM,76895.33,65472.14,70091.09,212458.56
53998,2037/08/21 05:22:49 AM,76896.58,65473.18,70092.23,212462.00
53999,2037/08/21 05:37:50 AM,76897.87,65474.29,70093.43,212465.59
54000,2037/08/21 05:52:50 AM,76899.08,65475.31,70094.56,212468.95
54001,2037/08/21 06:07:51 AM,76900.36,65476.42,70095.80,212472.59
54002,2037/08/21 06:22:51 AM,76901.56,65477.44,70096.93,212475.94
54003,2037/08/21 06:37:52 AM,76902.73,65478.46,70098.05,212479.23
54004,2037/08/21 06:52:52 AM,76904.16,65479.73,70099.41,212483.30
54005,2037/08/21 07:07:53 AM,76905.66,65481.03,70100.82,212487.50
54006,2037/08/21 07:22:53 AM,76907.14,65482.31,70102.20,212491.66
54007,2037/08/21 07:37:54 AM,76908.59,65483.52,70103.52,212495.64
54008,2037/08/21 07:52:54 AM,76910.01,65484.75,70104.83,212499.58
54009,2037/08/21 08:07:55 AM,76911.41,65485.93,70106.11,212503.45
54010,2037/08/21 08:22:55 AM,76912.75,65487.06,70107.31,212507.12
54011,2037/08/21 08:37:56 AM,76914.09,65488.15,70108.46,212510.72
54012,2037/08/21 08:52:56 AM,76915.44,65489.29,70109.66,212514.39
54013,2037/08/21 09:07:57 AM,76916.71,65490.34,70110.72,212517.77
54014,2037/08/21 09:22:57 AM,76918.05,65491.46,70111.88,212521.41
54015,2037/08/21 09:37:58 AM,76919.53,65492.73,70113.23,212525.50
54016,2037/08/21 09:52:58 AM,76920.87,65493.84,70114.42,212529.12
54017,2037/08/21 10:07:59 AM,76922.24,65495.01,70115.68,212532.94
54018,2037/08/21 10:22:59 AM,76923.62,65496.14,70116.91,212536.67
54019,2037/08/21 10:38:00 AM,76924.90,65497.30,70118.15,212540.34
54020,2037/08/21 10:53:00 AM,76926.23,65498.43,70119.37,212544.03
54021,2037/08/21 11:08:01 AM,76927.53,65499.55,70120.59,212547.67
54022,2037/08/21 11:23:01 AM,76928.80,65500.60,70121.74,212551.16
54023,2037/08/21 11:38:02 AM,76930.08,65501.66,70122.93,212554.66
54024,2037/08/21 11:53:02 AM,76931.27,65502.63,70124.00,212557.91
54025,2037/08/21 12:08:02 PM,76932.49,65503.62,70125.09,212561.20
54026,2037/08/21 12:23:03 PM,76933.64,65504.57,70126.14,212564.34
54027,2037/08/21 12:38:03 PM,76934.79,65505.46,70127.15,212567.41
