Interval Data Recording,
,,,,,
Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh
55680,2037/08/21 03:37:01 AM,62341.56,67106.87,66314.34,195762.78
55681,2037/08/21 03:52:02 AM,62343.27,67108.55,66316.30,195768.12
55682,2037/08/21 04:07:02 AM,62345.00,67110.24,66318.30,195773.55
55683,2037/08/21 04:22:03 AM,62346.73,67111.95,66320.34,195779.00
55684,2037/08/21 04:37:03 AM,62348.51,67113.66,66322.38,195784.56
55685,2037/08/21 04:52:04 AM,62350.23,67115.41,66324.38,195790.03
55686,2037/08/21 05:07:04 AM,62351.74,67116.98,66326.29,195795.00
55687,2037/08/21 05:22:04 AM,62353.33,67118.58,66328.22,195800.12
55688,2037/08/21 05:37:05 AM,62355.09,67120.26,66330.20,195805.55
55689,2037/08/21 05:52:05 AM,62356.78,67121.93,66332.20,195810.91
55690,2037/08/21 06:07:06 AM,62358.62,67123.55,66334.20,195816.37
55691,2037/08/21 06:22:06 AM,62360.42,67125.20,66336.25,195821.87
55692,2037/08/21 06:37:07 AM,62362.12,67126.82,66338.23,195827.17
55693,2037/08/21 06:52:07 AM,62363.91,67128.48,66340.26,195832.66
55694,2037/08/21 07:07:08 AM,62365.57,67130.23,66342.41,195838.20
55695,2037/08/21 07:22:08 AM,62367.23,67131.96,66344.54,195843.72
55696,2037/08/21 07:37:09 AM,62368.93,67133.62,66346.70,195849.25
55697,2037/08/21 07:52:09 AM,62370.64,67135.30,66348.88,195854.84
55698,2037/08/21 08:07:10 AM,62372.23,67136.92,66351.02,195860.16
55699,2037/08/21 08:22:10 AM,62373.73,67138.51,66353.11,195865.34
55700,2037/08/21 08:37:11 AM,62375.31,67140.09,66355.19,195870.59
55701,2037/08/21 08:52:11 AM,62376.89,67141.64,66357.23,195875.75
55702,2037/08/21 09:07:12 AM,62378.28,67143.10,66359.16,195880.53
55703,2037/08/21 09:22:12 AM,62379.57,67144.53,66361.05,195885.16
55704,2037/08/21 09:37:13 AM,62380.81,67145.94,66362.91,195889.66
55705,2037/08/21 09:52:13 AM,62381.97,67147.34,66364.85,195894.16
55706,2037/08/21 10:07:14 AM,62383.09,67148.73,66366.66,195898.48
55707,2037/08/21 10:22:14 AM,62384.09,67150.16,66368.25,195902.50
55708,2037/08/21 10:37:15 AM,62385.14,67151.55,66369.62,195906.31
55709,2037/08/21 10:52:15 AM,62386.05,67152.91,66370.94,195909.91
55710,2037/08/21 11:07:16 AM,62386.96,67154.30,66372.23,195913.48
55711,2037/08/21 11:22:16 AM,62387.94,67155.68,66373.58,195917.20
55712,2037/08/21 11:37:17 AM,62389.01,67157.02,66374.84,195920.86
55713,2037/08/21 11:52:17 AM,62389.95,67158.25,66375.96,195924.16
55714,2037/08/21 12:07:18 PM,62390.84,67159.48,66377.09,195927.41
55715,2037/08/21 12:22:18 PM,62391.71,67160.72,66378.26,195930.69
55716,2037/08/21 12:37:19 PM,62392.64,67161.95,66379.41,195934.00
55717,2037/08/21 12:52:19 PM,62393.47,67163.13,66380.50,195937.11
55718,2037/08/21 01:07:19 PM,62394.24,67164.27,66381.55,195940.06
55719,2037/08/21 01:22:20 PM,62394.96,67165.39,66382.58,195942.94
55720,2037/08/21 01:37:20 PM,62395.72,67166.56,66383.64,195945.92
55721,2037/08/21 01:52:21 PM,62396.58,67167.73,66384.74,195949.05
55722,2037/08/21 02:07:21 PM,62397.43,67168.94,66385.86,195952.23
55723,2037/08/21 02:22:22 PM,62398.19,67170.12,66386.94,195955.25
55724,2037/08/21 02:37:22 PM,62398.87,67171.27,66387.97,195958.09
55725,2037/08/21 02:52:23 PM,62399.59,67172.38,66388.98,195960.94
55726,2037/08/21 03:07:23 PM,62400.32,67173.55,66389.98,195963.86
55727,2037/08/21 03:22:24 PM,62401.01,67174.68,66391.00,195966.69
55728,2037/08/21 03:37:24 PM,62401.72,67175.80,66392.05,195969.56
55729,2037/08/21 03:52:25 PM,62402.44,67176.94,66393.06,195972.44
55730,2037/08/21 04:07:25 PM,62403.28,67178.06,66394.07,195975.41
55731,2037/08/21 04:22:26 PM,62404.05,67179.20,66395.06,195978.31
55732,2037/08/21 04:37:26 PM,62404.87,67180.34,66396.07,195981.28
55733,2037/08/21 04:52:27 PM,62405.61,67181.47,66397.07,195984.16
55734,2037/08/21 05:07:27 PM,62406.31,67182.52,66397.97,195986.80
55735,2037/08/21 05:22:28 PM,62407.02,67183.55,66398.86,195989.42
55736,2037/08/21 05:37:28 PM,62407.77,67184.56,66399.73,195992.06
55737,2037/08/21 05:52:29 PM,62408.46,67185.62,66400.61,195994.69
55738,2037/08/21 06:07:29 PM,62409.23,67186.66,66401.59,195997.48
55739,2037/08/21 06:22:30 PM,62410.03,67187.70,66402.58,196000.31
55740,2037/08/21 06:37:30 PM,62410.71,67188.75,66403.48,196002.94
55741,2037/08/21 06:52:31 PM,62411.37,67189.79,66404.37,196005.53
55742,2037/08/21 07:07:31 PM,62412.04,67190.83,66405.26,196008.12
55743,2037/08/21 07:22:32 PM,62412.71,67191.88,66406.13,196010.72
55744,2037/08/21 07:37:32 PM,62413.37,67192.96,66407.06,196013.39
55745,2037/08/21 07:52:33 PM,62414.08,67194.02,66407.95,196016.05
55746,2037/08/21 08:07:33 PM,62414.86,67195.07,66408.84,196018.78
55747,2037/08/21 08:22:34 PM,62415.68,67196.14,66409.78,196021.59
