Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh

59904,2037/10/21 09:25:20 PM,309684.66,291960.59,274636.03,876281.25
59905,2037/10/21 09:40:21 PM,309690.03,291965.53,274640.84,876296.37
59906,2037/10/21 09:55:21 PM,309695.41,291970.50,274645.62,876311.50
59907,2037/10/21 10:10:22 PM,309701.19,291975.97,274650.91,876328.00
59908,2037/10/21 10:25:22 PM,309707.12,291981.53,274656.28,876344.87
59909,2037/10/21 10:40:23 PM,309712.78,291986.75,274661.37,876360.87
59910,2037/10/21 10:55:23 PM,309718.37,291991.97,274666.53,876376.87
59911,2037/10/21 11:10:24 PM,309724.31,291997.50,274671.91,876393.75
59912,2037/10/21 11:25:24 PM,309730.16,292002.84,274677.19,876410.19
59913,2037/10/21 11:40:25 PM,309736.22,292008.50,274682.72,876427.50
59914,2037/10/21 11:55:25 PM,309741.97,292013.72,274687.84,876443.50
59915,2037/10/22 12:10:26 AM,309747.53,292018.81,274692.84,876459.25
59916,2037/10/22 12:25:26 AM,309753.19,292024.06,274697.91,876475.12
59917,2037/10/22 12:40:26 AM,309758.84,292029.22,274702.97,876491.00
59918,2037/10/22 12:55:27 AM,309764.53,292034.47,274708.09,876507.12
59919,2037/10/22 01:10:27 AM,309770.19,292039.72,274713.19,876523.06
59920,2037/10/22 01:25:28 AM,309775.72,292044.75,274718.19,876538.69
59921,2037/10/22 01:40:28 AM,309781.50,292050.03,274723.37,876554.87
59922,2037/10/22 01:55:29 AM,309787.00,292055.06,274728.31,876570.37
59923,2037/10/22 02:10:29 AM,309792.59,292060.16,274733.34,876586.12
59924,2037/10/22 02:25:30 AM,309798.25,292065.31,274738.44,876602.00
59925,2037/10/22 02:40:30 AM,309803.87,292070.44,274743.50,876617.81
59926,2037/10/22 02:55:31 AM,309809.34,292075.37,274748.41,876633.12
59927,2037/10/22 03:10:31 AM,309814.72,292080.34,274753.31,876648.37
59928,2037/10/22 03:25:32 AM,309820.03,292085.31,274758.09,876663.50
59929,2037/10/22 03:40:32 AM,309825.50,292090.44,274763.12,876679.06
59930,2037/10/22 03:55:33 AM,309830.75,292095.28,274767.91,876693.87
59931,2037/10/22 04:10:33 AM,309835.91,292100.09,274772.56,876708.56
59932,2037/10/22 04:25:34 AM,309841.19,292104.97,274777.34,876723.50
59933,2037/10/22 04:40:34 AM,309846.25,292109.66,274781.91,876737.75
59934,2037/10/22 04:55:35 AM,309851.41,292114.41,274786.62,876752.44
59935,2037/10/22 05:10:35 AM,309856.56,292119.16,274791.28,876767.00
59936,2037/10/22 05:25:36 AM,309861.56,292123.81,274795.84,876781.25
59937,2037/10/22 05:40:36 AM,309866.78,292128.62,274800.59,876796.00
59938,2037/10/22 05:55:36 AM,309871.69,292133.09,274805.06,876809.81
59939,2037/10/22 06:10:37 AM,309876.47,292137.50,274809.34,876823.37
59940,2037/10/22 06:25:37 AM,309881.37,292142.06,274813.75,876837.19
59941,2037/10/22 06:40:38 AM,309886.19,292146.31,274817.94,876850.44
59942,2037/10/22 06:55:38 AM,309890.78,292150.37,274821.97,876863.12
59943,2037/10/22 07:10:39 AM,309895.28,292154.56,274826.09,876876.00
59944,2037/10/22 07:25:39 AM,309899.75,292158.81,274830.12,876888.69
59945,2037/10/22 07:40:40 AM,309904.19,292163.00,274834.19,876901.37
59946,2037/10/22 07:55:40 AM,309908.91,292167.47,274838.47,876914.87
59947,2037/10/22 08:10:41 AM,309913.72,292172.03,274842.84,876928.62
59948,2037/10/22 08:25:41 AM,309918.59,292176.72,274847.34,876942.62
59949,2037/10/22 08:40:42 AM,309923.53,292181.50,274851.94,876956.94
59950,2037/10/22 08:55:42 AM,309928.56,292186.31,274856.53,876971.37
59951,2037/10/22 09:10:43 AM,309933.62,292191.09,274861.16,876985.87
59952,2037/10/22 09:25:43 AM,309938.78,292195.91,274865.75,877000.44
59953,2037/10/22 09:40:44 AM,309943.81,292200.59,274870.28,877014.62
59954,2037/10/22 09:55:44 AM,309948.87,292205.41,274874.87,877029.12
59955,2037/10/22 10:10:45 AM,309953.94,292210.25,274879.47,877043.62
