Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh

55344,2037/09/04 01:45:05 AM,90499.16,48166.62,98007.49,236673.28
55345,2037/09/04 02:00:05 AM,90500.93,48167.53,98009.45,236677.92
55346,2037/09/04 02:15:06 AM,90502.68,48168.47,98011.41,236682.56
55347,2037/09/04 02:30:06 AM,90504.45,48169.42,98013.37,236687.25
55348,2037/09/04 02:45:07 AM,90506.24,48170.39,98015.34,236691.97
55349,2037/09/04 03:00:07 AM,90508.07,48171.39,98017.37,236696.84
55350,2037/09/04 03:15:08 AM,90509.96,48172.36,98019.45,236701.77
55351,2037/09/04 03:30:08 AM,90511.87,48173.32,98021.65,236706.84
55352,2037/09/04 03:45:09 AM,90513.86,48174.33,98023.84,236712.03
55353,2037/09/04 04:00:09 AM,90515.84,48175.29,98026.01,236717.12
55354,2037/09/04 04:15:10 AM,90517.87,48176.23,98028.16,236722.28
55355,2037/09/04 04:30:10 AM,90519.85,48177.19,98030.30,236727.34
55356,2037/09/04 04:45:11 AM,90521.84,48178.14,98032.45,236732.41
55357,2037/09/04 05:00:11 AM,90523.82,48179.10,98034.62,236737.53
55358,2037/09/04 05:15:12 AM,90525.83,48180.08,98036.78,236742.69
55359,2037/09/04 05:30:12 AM,90527.76,48181.05,98038.84,236747.66
55360,2037/09/04 05:45:13 AM,90529.73,48182.02,98040.92,236752.67
55361,2037/09/04 06:00:13 AM,90531.60,48182.96,98042.90,236757.47
55362,2037/09/04 06:15:14 AM,90533.46,48183.91,98044.91,236762.28
55363,2037/09/04 06:30:14 AM,90535.33,48184.85,98046.90,236767.09
55364,2037/09/04 06:45:15 AM,90537.18,48185.80,98048.89,236771.87
55365,2037/09/04 07:00:15 AM,90539.05,48186.74,98050.88,236776.69
55366,2037/09/04 07:15:16 AM,90540.92,48187.71,98052.86,236781.48
55367,2037/09/04 07:30:16 AM,90542.77,48188.66,98054.86,236786.30
55368,2037/09/04 07:45:17 AM,90544.63,48189.61,98056.83,236791.06
55369,2037/09/04 08:00:17 AM,90546.44,48190.53,98058.75,236795.72
55370,2037/09/04 08:15:18 AM,90548.30,48191.43,98060.73,236800.47
55371,2037/09/04 08:30:18 AM,90550.23,48192.35,98062.80,236805.37
55372,2037/09/04 08:45:19 AM,90552.13,48193.27,98064.86,236810.27
55373,2037/09/04 09:00:19 AM,90554.05,48194.18,98066.90,236815.12
55374,2037/09/04 09:15:20 AM,90555.96,48195.09,98068.96,236820.03
55375,2037/09/04 09:30:20 AM,90557.80,48196.02,98070.95,236824.75
55376,2037/09/04 09:45:21 AM,90559.56,48196.93,98072.87,236829.37
55377,2037/09/04 10:00:21 AM,90561.37,48197.85,98074.80,236834.03
55378,2037/09/04 10:15:22 AM,90563.23,48198.76,98076.72,236838.72
55379,2037/09/04 10:30:22 AM,90565.08,48199.67,98078.70,236843.44
55380,2037/09/04 10:45:23 AM,90566.87,48200.57,98080.55,236848.00
