Timestamp,Description,IP,Slave,Register,Register_Name,Value
2025-07-16 10:30:20 AM,PM C1L1 Substation,10.129.7.21,3,2346,Active Energy Net CH1 (MSW),37153.22265625
2025-07-16 10:30:20 AM,PM Autoclave 10,10.129.7.15,20,2346,Active Energy Net CH1 (MSW),367092.21875
2025-07-16 10:30:20 AM,PM Autoclave 8,10.129.7.13,8,2346,Active Energy Net CH1 (MSW),70500.9140625
2025-07-16 10:30:20 AM,PM Autoclave 9,10.129.7.14,23,2346,Active Energy Net CH1 (MSW),283375.21875
2025-07-16 10:30:20 AM,PM Autoclave 1,10.129.7.6,19,2346,Active Energy Net CH1 (MSW),100764.8671875
2025-07-16 10:30:20 AM,PM A1 Substation,10.129.7.17,14,2346,Active Energy Net CH1 (MSW),3066664.5
2025-07-16 10:30:20 AM,PM Autoclave 3,10.129.7.7,17,2346,Active Energy Net CH1 (MSW),34508.90234375
2025-07-16 10:30:20 AM,PM C2P Substation,10.129.7.25,5,2346,Active Energy Net CH1 (MSW),70886.4453125
2025-07-16 10:30:20 AM,PM Drop Bottom,10.129.7.16,15,2346,Active Energy Net CH1 (MSW),273724.1875
2025-07-16 10:30:20 AM,PM Autoclave 6,10.129.7.11,22,2346,Active Energy Net CH1 (MSW),32806.0703125
2025-07-16 10:30:20 AM,PM B2 Substation,10.129.7.19,12,2346,Active Energy Net CH1 (MSW),353672.1875
2025-07-16 10:30:20 AM,PM Autoclave 4,10.129.7.9,18,2346,Active Energy Net CH1 (MSW),43376.56640625
2025-07-16 10:30:20 AM,PM A3 Substation,10.129.7.18,16,2346,Active Energy Net CH1 (MSW),1363492.875
2025-07-16 10:30:20 AM,PM C1A Substation,10.129.7.23,11,2346,Active Energy Net CH1 (MSW),-1276327.0
2025-07-16 10:30:20 AM,PM C1L2 Substation,10.129.7.22,4,2346,Active Energy Net CH1 (MSW),103738.7890625
2025-07-16 10:30:20 AM,PM B3 Substation,10.129.7.20,13,2346,Active Energy Net CH1 (MSW),850918.625
2025-07-16 10:30:20 AM,PM C2L Substation,10.129.7.24,9,2346,Active Energy Net CH1 (MSW),90503.7890625
2025-07-16 10:30:20 AM,PM Autoclave 5,10.129.7.10,6,2346,Active Energy Net CH1 (MSW),221929.53125
2025-07-16 10:30:20 AM,PM Autoclave 2,10.129.7.8,7,2346,Active Energy Net CH1 (MSW),1364.907470703125
