Timestamp,Description,IP,Slave,Register,Register_Name,Value
2025-07-24 13:00:00 PM,PM B2 Substation,10.129.7.19,12,1213,Imported Energy CH3 (MSW),318517.28125
2025-07-24 13:00:00 PM,PM B3 Substation,10.129.7.20,13,1213,Imported Energy CH3 (MSW),937691.8125
2025-07-24 13:00:00 PM,PM A3 Substation,10.129.7.18,16,1213,Imported Energy CH3 (MSW),1371816.375
2025-07-24 13:00:00 PM,PM Autoclave 2,10.129.7.8,7,1213,Imported Energy CH3 (MSW),7333.744140625
2025-07-24 13:00:00 PM,PM Autoclave 4,10.129.7.9,18,1213,Imported Energy CH3 (MSW),41426.46875
2025-07-24 13:00:00 PM,PM C1A Substation,10.129.7.23,11,1213,Imported Energy CH3 (MSW),1549203.125
2025-07-24 13:00:00 PM,PM Autoclave 5,10.129.7.10,6,1213,Imported Energy CH3 (MSW),196754.640625
2025-07-24 13:00:00 PM,PM C1L1 Substation,10.129.7.21,3,1213,Imported Energy CH3 (MSW),29412.796875
2025-07-24 13:00:00 PM,PM C2P Substation,10.129.7.25,5,1213,Imported Energy CH3 (MSW),78828.8515625
2025-07-24 13:00:00 PM,PM Autoclave 6,10.129.7.11,22,1213,Imported Energy CH3 (MSW),17858.369140625
2025-07-24 13:00:00 PM,PM C2L Substation,10.129.7.24,9,1213,Imported Energy CH3 (MSW),84034.40625
2025-07-24 13:00:00 PM,PM Drop Bottom,10.129.7.16,15,1213,Imported Energy CH3 (MSW),297540.90625
2025-07-24 13:00:00 PM,PM A1 Substation,10.129.7.17,14,1213,Imported Energy CH3 (MSW),2941681.5
2025-07-24 13:00:00 PM,PM Autoclave 10,10.129.7.15,20,1213,Imported Energy CH3 (MSW),375168.0
2025-07-24 13:00:00 PM,PM Autoclave 9,10.129.7.14,23,1213,Imported Energy CH3 (MSW),288800.0
2025-07-24 13:00:00 PM,PM C1L2 Substation,10.129.7.22,4,1213,Imported Energy CH3 (MSW),113533.90625
2025-07-24 13:00:00 PM,PM Autoclave 3,10.129.7.7,17,1213,Imported Energy CH3 (MSW),34665.26953125
2025-07-24 13:00:00 PM,PM Autoclave 8,10.129.7.13,8,1213,Imported Energy CH3 (MSW),61375.625
2025-07-24 13:00:42 PM,PM Autoclave 9,10.129.7.14,23,1213,Imported Energy CH3 (MSW),288800.34375
2025-07-24 13:00:42 PM,PM C2L Substation,10.129.7.24,9,1213,Imported Energy CH3 (MSW),84034.5078125
2025-07-24 13:00:42 PM,PM B3 Substation,10.129.7.20,13,1213,Imported Energy CH3 (MSW),937692.25
2025-07-24 13:00:42 PM,PM C1L2 Substation,10.129.7.22,4,1213,Imported Energy CH3 (MSW),113534.0
2025-07-24 13:00:42 PM,PM A3 Substation,10.129.7.18,16,1213,Imported Energy CH3 (MSW),1371816.875
2025-07-24 13:00:42 PM,PM Autoclave 6,10.129.7.11,22,1213,Imported Energy CH3 (MSW),17858.373046875
2025-07-24 13:00:42 PM,PM Autoclave 5,10.129.7.10,6,1213,Imported Energy CH3 (MSW),196754.84375
2025-07-24 13:00:42 PM,PM C1A Substation,10.129.7.23,11,1213,Imported Energy CH3 (MSW),1549205.625
2025-07-24 13:00:42 PM,PM C2P Substation,10.129.7.25,5,1213,Imported Energy CH3 (MSW),78828.9296875
2025-07-24 13:00:42 PM,PM A1 Substation,10.129.7.17,14,1213,Imported Energy CH3 (MSW),2941683.0
2025-07-24 13:00:42 PM,PM Autoclave 3,10.129.7.7,17,1213,Imported Energy CH3 (MSW),34665.26953125
2025-07-24 13:00:42 PM,PM Autoclave 4,10.129.7.9,18,1213,Imported Energy CH3 (MSW),41426.46875
2025-07-24 13:00:42 PM,PM Autoclave 2,10.129.7.8,7,1213,Imported Energy CH3 (MSW),7333.744140625
2025-07-24 13:00:42 PM,PM Autoclave 10,10.129.7.15,20,1213,Imported Energy CH3 (MSW),375168.46875
2025-07-24 13:00:42 PM,PM C1L1 Substation,10.129.7.21,3,1213,Imported Energy CH3 (MSW),29412.810546875
2025-07-24 13:00:42 PM,PM Autoclave 8,10.129.7.13,8,1213,Imported Energy CH3 (MSW),61375.63671875
2025-07-24 13:00:42 PM,PM B2 Substation,10.129.7.19,12,1213,Imported Energy CH3 (MSW),318517.625
2025-07-24 13:00:42 PM,PM Drop Bottom,10.129.7.16,15,1213,Imported Energy CH3 (MSW),297541.1875
2025-07-24 13:01:43 PM,PM B2 Substation,10.129.7.19,12,1213,Imported Energy CH3 (MSW),318518.09375
2025-07-24 13:01:43 PM,PM Autoclave 5,10.129.7.10,6,1213,Imported Energy CH3 (MSW),196755.171875
2025-07-24 13:01:43 PM,PM C2P Substation,10.129.7.25,5,1213,Imported Energy CH3 (MSW),78829.046875
2025-07-24 13:01:43 PM,PM Autoclave 2,10.129.7.8,7,1213,Imported Energy CH3 (MSW),7333.744140625
2025-07-24 13:01:43 PM,PM C1L1 Substation,10.129.7.21,3,1213,Imported Energy CH3 (MSW),29412.83203125
2025-07-24 13:01:43 PM,PM C1A Substation,10.129.7.23,11,1213,Imported Energy CH3 (MSW),1549209.0
2025-07-24 13:01:43 PM,PM C2L Substation,10.129.7.24,9,1213,Imported Energy CH3 (MSW),84034.640625
2025-07-24 13:01:43 PM,PM Drop Bottom,10.129.7.16,15,1213,Imported Energy CH3 (MSW),297541.59375
2025-07-24 13:01:43 PM,PM Autoclave 8,10.129.7.13,8,1213,Imported Energy CH3 (MSW),61375.65625
2025-07-24 13:01:43 PM,PM Autoclave 4,10.129.7.9,18,1213,Imported Energy CH3 (MSW),41426.46875
2025-07-24 13:01:43 PM,PM Autoclave 6,10.129.7.11,22,1213,Imported Energy CH3 (MSW),17858.37890625
2025-07-24 13:01:43 PM,PM Autoclave 3,10.129.7.7,17,1213,Imported Energy CH3 (MSW),34665.26953125
2025-07-24 13:01:43 PM,PM Autoclave 9,10.129.7.14,23,1213,Imported Energy CH3 (MSW),288800.75
2025-07-24 13:01:43 PM,PM Autoclave 10,10.129.7.15,20,1213,Imported Energy CH3 (MSW),375169.375
2025-07-24 13:01:43 PM,PM A1 Substation,10.129.7.17,14,1213,Imported Energy CH3 (MSW),2941684.75
2025-07-24 13:01:43 PM,PM A3 Substation,10.129.7.18,16,1213,Imported Energy CH3 (MSW),1371817.75
2025-07-24 13:01:43 PM,PM B3 Substation,10.129.7.20,13,1213,Imported Energy CH3 (MSW),937692.9375
2025-07-24 13:01:43 PM,PM C1L2 Substation,10.129.7.22,4,1213,Imported Energy CH3 (MSW),113534.140625
2025-07-24 13:03:27 PM,PM C1L1 Substation,10.129.7.21,3,1213,Imported Energy CH3 (MSW),29412.8671875
2025-07-24 13:03:27 PM,PM C1L2 Substation,10.129.7.22,4,1213,Imported Energy CH3 (MSW),113534.3828125
2025-07-24 13:03:27 PM,PM C2P Substation,10.129.7.25,5,1213,Imported Energy CH3 (MSW),78829.2421875
2025-07-24 13:03:27 PM,PM Autoclave 2,10.129.7.8,7,1213,Imported Energy CH3 (MSW),7333.744140625
2025-07-24 13:03:27 PM,PM C2L Substation,10.129.7.24,9,1213,Imported Energy CH3 (MSW),84034.890625
2025-07-24 13:03:27 PM,PM B2 Substation,10.129.7.19,12,1213,Imported Energy CH3 (MSW),318518.875
2025-07-24 13:03:27 PM,PM Autoclave 8,10.129.7.13,8,1213,Imported Energy CH3 (MSW),61375.6875
2025-07-24 13:03:27 PM,PM B3 Substation,10.129.7.20,13,1213,Imported Energy CH3 (MSW),937694.0
2025-07-24 13:03:27 PM,PM Autoclave 5,10.129.7.10,6,1213,Imported Energy CH3 (MSW),196755.734375
2025-07-24 13:03:27 PM,PM A1 Substation,10.129.7.17,14,1213,Imported Energy CH3 (MSW),2941688.0
2025-07-24 13:03:27 PM,PM Autoclave 3,10.129.7.7,17,1213,Imported Energy CH3 (MSW),34665.26953125
2025-07-24 13:03:27 PM,PM Autoclave 4,10.129.7.9,18,1213,Imported Energy CH3 (MSW),41426.46875
2025-07-24 13:03:27 PM,PM Drop Bottom,10.129.7.16,15,1213,Imported Energy CH3 (MSW),297542.34375
2025-07-24 13:03:27 PM,PM Autoclave 9,10.129.7.14,23,1213,Imported Energy CH3 (MSW),288801.46875
2025-07-24 13:03:27 PM,PM Autoclave 10,10.129.7.15,20,1213,Imported Energy CH3 (MSW),375170.8125
2025-07-24 13:03:27 PM,PM A3 Substation,10.129.7.18,16,1213,Imported Energy CH3 (MSW),1371819.25
2025-07-24 13:03:27 PM,PM Autoclave 6,10.129.7.11,22,1213,Imported Energy CH3 (MSW),17858.388671875
2025-07-24 13:03:28 PM,PM C1A Substation,10.129.7.23,11,1213,Imported Energy CH3 (MSW),1549214.5
2025-07-24 13:05:10 PM,PM C1L1 Substation,10.129.7.21,3,1213,Imported Energy CH3 (MSW),29412.900390625
2025-07-24 13:05:10 PM,PM C2P Substation,10.129.7.25,5,1213,Imported Energy CH3 (MSW),78829.4375
2025-07-24 13:05:10 PM,PM Autoclave 8,10.129.7.13,8,1213,Imported Energy CH3 (MSW),61375.71875
2025-07-24 13:05:10 PM,PM C2L Substation,10.129.7.24,9,1213,Imported Energy CH3 (MSW),84035.1796875
2025-07-24 13:05:10 PM,PM Autoclave 5,10.129.7.10,6,1213,Imported Energy CH3 (MSW),196756.296875
2025-07-24 13:05:10 PM,PM B2 Substation,10.129.7.19,12,1213,Imported Energy CH3 (MSW),318519.65625
2025-07-24 13:05:10 PM,PM A3 Substation,10.129.7.18,16,1213,Imported Energy CH3 (MSW),1371820.875
2025-07-24 13:05:10 PM,PM Drop Bottom,10.129.7.16,15,1213,Imported Energy CH3 (MSW),297543.15625
2025-07-24 13:05:10 PM,PM C1A Substation,10.129.7.23,11,1213,Imported Energy CH3 (MSW),1549219.375
2025-07-24 13:05:10 PM,PM A1 Substation,10.129.7.17,14,1213,Imported Energy CH3 (MSW),2941691.0
2025-07-24 13:05:10 PM,PM Autoclave 4,10.129.7.9,18,1213,Imported Energy CH3 (MSW),41426.46875
2025-07-24 13:05:10 PM,PM Autoclave 9,10.129.7.14,23,1213,Imported Energy CH3 (MSW),288802.15625
2025-07-24 13:05:10 PM,PM Autoclave 2,10.129.7.8,7,1213,Imported Energy CH3 (MSW),7333.744140625
2025-07-24 13:05:10 PM,PM C1L2 Substation,10.129.7.22,4,1213,Imported Energy CH3 (MSW),113534.6171875
2025-07-24 13:05:10 PM,PM Autoclave 10,10.129.7.15,20,1213,Imported Energy CH3 (MSW),375172.28125
2025-07-24 13:05:10 PM,PM B3 Substation,10.129.7.20,13,1213,Imported Energy CH3 (MSW),937695.125
2025-07-24 13:05:10 PM,PM Autoclave 6,10.129.7.11,22,1213,Imported Energy CH3 (MSW),17858.3984375
