Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh

67712,2038/01/07 01:05:51 AM,31299.79,31467.94,30476.75,93244.48
67713,2038/01/07 01:20:51 AM,31299.80,31467.94,30476.75,93244.48
67714,2038/01/07 01:35:52 AM,31299.89,31468.05,30476.84,93244.78
67715,2038/01/07 01:50:52 AM,31300.08,31468.25,30477.00,93245.33
67716,2038/01/07 02:05:53 AM,31300.26,31468.45,30477.15,93245.87
67717,2038/01/07 02:20:53 AM,31300.45,31468.65,30477.31,93246.41
67718,2038/01/07 02:35:53 AM,31300.65,31468.87,30477.48,93246.99
67719,2038/01/07 02:50:54 AM,31302.51,31471.38,30479.86,93253.76
67720,2038/01/07 03:05:54 AM,31307.21,31476.76,30486.21,93270.18
67721,2038/01/07 03:20:55 AM,31311.74,31482.00,30492.37,93286.11
67722,2038/01/07 03:35:55 AM,31316.12,31487.08,30498.30,93301.49
67723,2038/01/07 03:50:56 AM,31319.58,31491.32,30502.97,93313.87
67724,2038/01/07 04:05:56 AM,31320.45,31492.82,30503.95,93317.22
67725,2038/01/07 04:20:57 AM,31321.33,31494.31,30504.93,93320.56
67726,2038/01/07 04:35:57 AM,31322.19,31495.77,30505.89,93323.85
67727,2038/01/07 04:50:58 AM,31323.07,31497.28,30506.87,93327.22
67728,2038/01/07 05:05:58 AM,31323.94,31498.75,30507.85,93330.54
67729,2038/01/07 05:20:59 AM,31324.89,31500.36,30508.92,93334.17
67730,2038/01/07 05:35:59 AM,31325.95,31502.13,30510.11,93338.19
67731,2038/01/07 05:51:00 AM,31327.07,31503.98,30511.37,93342.42
67732,2038/01/07 06:06:00 AM,31328.20,31505.88,30512.65,93346.73
67733,2038/01/07 06:21:01 AM,31329.10,31507.44,30513.68,93350.22
67734,2038/01/07 06:36:01 AM,31329.13,31507.50,30513.72,93350.34
67735,2038/01/07 06:51:02 AM,31329.24,31507.61,30513.82,93350.67
67736,2038/01/07 07:06:02 AM,31329.45,31507.83,30514.00,93351.28
67737,2038/01/07 07:21:03 AM,31329.46,31507.83,30514.00,93351.28
67738,2038/01/07 07:36:03 AM,31329.47,31507.84,30514.00,93351.31
67739,2038/01/07 07:51:04 AM,31329.47,31507.84,30514.00,93351.32
67740,2038/01/07 08:06:04 AM,31329.47,31507.84,30514.00,93351.32
67741,2038/01/07 08:21:05 AM,31329.47,31507.84,30514.00,93351.32
67742,2038/01/07 08:36:05 AM,31329.47,31507.84,30514.00,93351.32
67743,2038/01/07 08:51:06 AM,31329.47,31507.85,30514.00,93351.32
67744,2038/01/07 09:06:06 AM,31329.48,31507.85,30514.00,93351.32
67745,2038/01/07 09:21:06 AM,31329.48,31507.85,30514.00,93351.32
67746,2038/01/07 09:36:07 AM,31329.48,31507.85,30514.00,93351.33
67747,2038/01/07 09:51:07 AM,31329.48,31507.85,30514.00,93351.33
67748,2038/01/07 10:06:08 AM,31329.48,31507.85,30514.00,93351.33
67749,2038/01/07 10:21:08 AM,31329.48,31507.85,30514.00,93351.33
67750,2038/01/07 10:36:09 AM,31329.48,31507.85,30514.00,93351.33
67751,2038/01/07 10:51:09 AM,31329.48,31507.85,30514.00,93351.33
67752,2038/01/07 11:06:10 AM,31329.48,31507.85,30514.00,93351.34
67753,2038/01/07 11:21:10 AM,31329.48,31507.85,30514.00,93351.34
67754,2038/01/07 11:36:11 AM,31329.48,31507.85,30514.00,93351.34
67755,2038/01/07 11:51:11 AM,31329.48,31507.85,30514.00,93351.34
67756,2038/01/07 12:06:12 PM,31329.48,31507.85,30514.00,93351.34
67757,2038/01/07 12:21:12 PM,31329.49,31507.85,30514.00,93351.34
67758,2038/01/07 12:36:13 PM,31329.49,31507.85,30514.00,93351.34
67759,2038/01/07 12:51:13 PM,31329.49,31507.85,30514.00,93351.34
67760,2038/01/07 01:06:14 PM,31329.49,31507.85,30514.00,93351.34
67761,2038/01/07 01:21:14 PM,31329.49,31507.85,30514.00,93351.34
67762,2038/01/07 01:36:15 PM,31329.49,31507.85,30514.00,93351.34
67763,2038/01/07 01:51:15 PM,31329.49,31507.85,30514.00,93351.34
