Interval Data Recording,
,,,,,
Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh
67952,2025/03/01 11:37:07 AM,257934.94,230340.67,260979.66,749255.25
67953,2025/03/01 11:52:07 AM,257943.64,230348.64,260988.47,749280.75
67954,2025/03/01 12:07:08 PM,257952.39,230356.70,260997.34,749306.44
67955,2025/03/01 12:22:08 PM,257961.44,230365.11,261006.56,749333.12
67956,2025/03/01 12:37:09 PM,257971.20,230374.28,261016.50,749362.00
67957,2025/03/01 12:52:09 PM,257981.73,230384.23,261027.14,749393.12
67958,2025/03/01 01:07:10 PM,257992.70,230394.62,261038.28,749425.62
67959,2025/03/01 01:22:10 PM,258003.34,230404.66,261049.06,749457.06
67960,2025/03/01 01:37:10 PM,258014.08,230414.69,261059.92,749488.69
67961,2025/03/01 01:52:11 PM,258024.77,230424.59,261070.67,749520.06
67962,2025/03/01 02:07:11 PM,258035.53,230434.56,261081.53,749551.62
67963,2025/03/01 02:22:12 PM,258046.37,230444.61,261092.47,749583.50
67964,2025/03/01 02:37:12 PM,258054.30,230452.05,261100.61,749606.94
67965,2025/03/01 02:52:13 PM,258056.70,230454.59,261103.19,749614.50
67966,2025/03/01 03:07:13 PM,258056.72,230454.59,261103.31,749614.62
67967,2025/03/01 03:22:14 PM,258056.73,230454.61,261103.45,749614.81
67968,2025/03/01 03:37:14 PM,258056.77,230454.62,261103.59,749615.00
67969,2025/03/01 03:52:15 PM,258056.77,230454.64,261103.72,749615.12
67970,2025/03/01 04:07:15 PM,258056.78,230454.64,261103.86,749615.31
67971,2025/03/01 04:22:16 PM,258056.80,230454.66,261104.00,749615.44
67972,2025/03/01 04:37:16 PM,258056.95,230454.70,261104.27,749615.94
67973,2025/03/01 04:52:17 PM,258057.03,230454.72,261104.47,749616.25
67974,2025/03/01 05:07:17 PM,258057.05,230454.72,261104.59,749616.37
67975,2025/03/01 05:22:18 PM,258057.06,230454.73,261104.73,749616.56
67976,2025/03/01 05:37:18 PM,258057.08,230454.73,261104.86,749616.69
67977,2025/03/01 05:52:19 PM,258057.09,230454.75,261105.00,749616.87
67978,2025/03/01 06:07:19 PM,258057.11,230454.77,261105.12,749617.00
67979,2025/03/01 06:22:20 PM,258057.12,230454.77,261105.25,749617.12
67980,2025/03/01 06:37:20 PM,258057.14,230454.78,261105.39,749617.31
67981,2025/03/01 06:52:21 PM,258057.16,230454.78,261105.52,749617.44
67982,2025/03/01 07:07:21 PM,258057.17,230454.80,261105.66,749617.62
67983,2025/03/01 07:22:22 PM,258057.19,230454.81,261105.78,749617.75
67984,2025/03/01 07:37:22 PM,258057.20,230454.81,261105.92,749617.94
67985,2025/03/01 07:52:23 PM,258057.20,230454.83,261106.05,749618.06
67986,2025/03/01 08:07:23 PM,258057.22,230454.84,261106.19,749618.25
67987,2025/03/01 08:22:24 PM,258057.23,230454.84,261106.33,749618.37
67988,2025/03/01 08:37:24 PM,258057.25,230454.86,261106.45,749618.56
67989,2025/03/01 08:52:25 PM,258057.25,230454.87,261106.59,749618.75
67990,2025/03/01 09:07:25 PM,258057.31,230454.92,261106.77,749619.00
67991,2025/03/01 09:22:26 PM,258057.33,230454.94,261106.92,749619.19
67992,2025/03/01 09:37:26 PM,258057.34,230454.95,261107.08,749619.37
67993,2025/03/01 09:52:27 PM,258057.48,230454.97,261107.34,749619.75
67994,2025/03/01 10:07:27 PM,258057.62,230454.98,261107.59,749620.25
67995,2025/03/01 10:22:28 PM,258057.72,230455.00,261107.81,749620.50
67996,2025/03/01 10:37:28 PM,258057.77,230455.05,261107.97,749620.75
67997,2025/03/01 10:52:28 PM,258057.84,230455.06,261108.17,749621.06
67998,2025/03/01 11:07:29 PM,258057.98,230455.08,261108.42,749621.50
67999,2025/03/01 11:22:29 PM,258062.20,230459.06,261112.81,749634.06
68000,2025/03/01 11:37:30 PM,258078.58,230474.62,261129.30,749682.50
68001,2025/03/01 11:52:30 PM,258121.91,230517.86,261173.86,749813.62
68002,2025/03/02 12:07:31 AM,258163.81,230560.89,261217.53,749942.25
68003,2025/03/02 12:22:31 AM,258204.11,230602.27,261259.25,750065.62
68004,2025/03/02 12:37:32 AM,258214.39,230611.52,261269.41,750095.31
68005,2025/03/02 12:52:32 AM,258223.17,230619.52,261278.23,750120.94
68006,2025/03/02 01:07:33 AM,258231.81,230627.42,261286.97,750146.25
68007,2025/03/02 01:22:33 AM,258240.98,230635.83,261296.19,750173.00
68008,2025/03/02 01:37:34 AM,258249.77,230643.86,261305.02,750198.62
68009,2025/03/02 01:52:34 AM,258258.75,230652.27,261314.08,750225.06
68010,2025/03/02 02:07:35 AM,258267.44,230660.28,261322.80,750250.50
68011,2025/03/02 02:22:35 AM,258276.66,230668.84,261332.05,750277.56
68012,2025/03/02 02:37:36 AM,258285.28,230676.83,261340.69,750302.81
68013,2025/03/02 02:52:36 AM,258295.25,230686.31,261350.73,750332.31
68014,2025/03/02 03:07:37 AM,258305.92,230696.45,261361.48,750363.87
68015,2025/03/02 03:22:37 AM,258317.02,230706.97,261372.61,750396.62
68016,2025/03/02 03:37:38 AM,258328.14,230717.39,261383.77,750429.31
68017,2025/03/02 03:52:38 AM,258339.14,230727.61,261394.78,750461.50
68018,2025/03/02 04:07:39 AM,258350.00,230737.69,261405.62,750493.31
68019,2025/03/02 04:22:39 AM,258360.98,230747.83,261416.59,750525.37
68020,2025/03/02 04:37:40 AM,258370.52,230756.70,261426.12,750553.37
68021,2025/03/02 04:52:40 AM,258373.89,230760.05,261429.66,750563.62
68022,2025/03/02 05:07:41 AM,258375.70,230761.98,261431.59,750569.25
68023,2025/03/02 05:22:41 AM,258375.72,230762.00,261431.73,750569.44
68024,2025/03/02 05:37:42 AM,258375.72,230762.02,261431.87,750569.62
68025,2025/03/02 05:52:42 AM,258375.72,230762.02,261432.00,750569.75
68026,2025/03/02 06:07:43 AM,258375.72,230762.03,261432.14,750569.87
68027,2025/03/02 06:22:43 AM,258375.73,230762.05,261432.28,750570.06
68028,2025/03/02 06:37:44 AM,258375.73,230762.05,261432.42,750570.19
68029,2025/03/02 06:52:44 AM,258375.73,230762.06,261432.55,750570.37
68030,2025/03/02 07:07:45 AM,258375.75,230762.08,261432.69,750570.50
68031,2025/03/02 07:22:45 AM,258375.78,230762.11,261432.86,750570.75
68032,2025/03/02 07:37:45 AM,258375.78,230762.12,261432.98,750570.87
68033,2025/03/02 07:52:46 AM,258375.80,230762.14,261433.12,750571.06
68034,2025/03/02 08:07:46 AM,258375.80,230762.16,261433.27,750571.19
68035,2025/03/02 08:22:47 AM,258375.81,230762.17,261433.41,750571.37
68036,2025/03/02 08:37:47 AM,258375.81,230762.17,261433.55,750571.56
68037,2025/03/02 08:52:48 AM,258375.87,230762.23,261433.75,750571.87
