Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh

57152,2037/09/18 03:41:54 AM,-1160700.87,-17125.17,1423045.87,245219.87
57153,2037/09/18 03:56:54 AM,-1160721.87,-17124.21,1423070.25,245224.12
57154,2037/09/18 04:11:54 AM,-1160743.62,-17123.21,1423095.25,245228.37
57155,2037/09/18 04:26:55 AM,-1160765.37,-17122.18,1423120.25,245232.75
57156,2037/09/18 04:41:55 AM,-1160786.75,-17121.31,1423145.37,245237.25
57157,2037/09/18 04:56:56 AM,-1160808.25,-17120.41,1423170.12,245241.50
57158,2037/09/18 05:11:56 AM,-1160830.62,-17119.38,1423195.87,245245.87
57159,2037/09/18 05:26:57 AM,-1160850.87,-17118.42,1423219.50,245250.25
57160,2037/09/18 05:41:57 AM,-1160871.62,-17117.37,1423243.50,245254.50
57161,2037/09/18 05:56:58 AM,-1160892.75,-17116.29,1423268.00,245259.00
57162,2037/09/18 06:11:58 AM,-1160913.00,-17115.38,1423291.75,245263.37
57163,2037/09/18 06:26:59 AM,-1160935.12,-17114.03,1423317.00,245267.87
57164,2037/09/18 06:41:59 AM,-1160958.37,-17112.75,1423343.37,245272.25
57165,2037/09/18 06:57:00 AM,-1160979.50,-17111.44,1423367.62,245276.62
57166,2037/09/18 07:12:00 AM,-1161001.25,-17109.99,1423392.37,245281.12
57167,2037/09/18 07:27:00 AM,-1161023.75,-17108.76,1423417.50,245285.00
57168,2037/09/18 07:42:01 AM,-1161045.87,-17107.90,1423442.62,245288.87
57169,2037/09/18 07:57:01 AM,-1161068.25,-17106.92,1423468.50,245293.37
57170,2037/09/18 08:12:02 AM,-1161092.62,-17105.36,1423495.87,245297.87
57171,2037/09/18 08:27:02 AM,-1161115.62,-17104.59,1423522.75,245302.50
57172,2037/09/18 08:42:03 AM,-1161138.00,-17103.21,1423548.37,245307.12
57173,2037/09/18 08:57:03 AM,-1161163.50,-17101.46,1423576.87,245311.87
57174,2037/09/18 09:12:04 AM,-1161185.62,-17099.83,1423602.25,245316.75
57175,2037/09/18 09:27:04 AM,-1161207.62,-17098.02,1423627.50,245321.87
57176,2037/09/18 09:42:05 AM,-1161230.25,-17096.19,1423653.00,245326.50
57177,2037/09/18 09:57:05 AM,-1161253.37,-17094.37,1423678.87,245331.12
57178,2037/09/18 10:12:06 AM,-1161273.62,-17092.98,1423702.37,245335.75
57179,2037/09/18 10:27:06 AM,-1161294.62,-17091.61,1423726.62,245340.37
57180,2037/09/18 10:42:06 AM,-1161313.87,-17090.32,1423749.37,245345.12
57181,2037/09/18 10:57:07 AM,-1161334.37,-17088.75,1423773.12,245350.00
57182,2037/09/18 11:12:07 AM,-1161355.50,-17087.41,1423798.00,245355.12
57183,2037/09/18 11:27:08 AM,-1161375.25,-17086.25,1423821.50,245360.00
57184,2037/09/18 11:42:08 AM,-1161397.75,-17084.59,1423847.25,245364.87
57185,2037/09/18 11:57:09 AM,-1161418.25,-17083.32,1423871.75,245370.12
57186,2037/09/18 12:12:09 PM,-1161439.37,-17081.79,1423895.87,245374.75
57187,2037/09/18 12:27:10 PM,-1161460.25,-17080.15,1423919.50,245379.12
57188,2037/09/18 12:42:10 PM,-1161479.37,-17078.82,1423942.00,245383.75
57189,2037/09/18 12:57:11 PM,-1161500.37,-17077.37,1423966.25,245388.50
57190,2037/09/18 01:12:11 PM,-1161521.37,-17076.00,1423990.50,245393.12
57191,2037/09/18 01:27:12 PM,-1161542.37,-17074.97,1424015.25,245397.87
57192,2037/09/18 01:42:12 PM,-1161563.75,-17074.18,1424040.00,245402.12
57193,2037/09/18 01:57:12 PM,-1161585.62,-17073.13,1424065.62,245406.87
57194,2037/09/18 02:12:13 PM,-1161606.25,-17072.19,1424090.12,245411.75
57195,2037/09/18 02:27:13 PM,-1161628.50,-17071.29,1424116.37,245416.62
57196,2037/09/18 02:42:14 PM,-1161651.12,-17070.18,1424142.50,245421.25
57197,2037/09/18 02:57:14 PM,-1161671.62,-17069.04,1424166.50,245425.87
57198,2037/09/18 03:12:15 PM,-1161690.75,-17068.22,1424190.00,245431.00
57199,2037/09/18 03:27:15 PM,-1161711.12,-17066.65,1424213.50,245435.75
57200,2037/09/18 03:42:16 PM,-1161729.87,-17065.15,1424235.50,245440.50
57201,2037/09/18 03:57:16 PM,-1161748.25,-17063.47,1424256.62,245444.87
57202,2037/09/18 04:12:17 PM,-1161766.62,-17061.84,1424277.62,245449.12
57203,2037/09/18 04:27:17 PM,-1161786.12,-17060.15,1424299.75,245453.50
57204,2037/09/18 04:42:18 PM,-1161805.62,-17058.60,1424322.12,245457.87
57205,2037/09/18 04:57:18 PM,-1161824.37,-17056.91,1424343.37,245462.12
57206,2037/09/18 05:12:18 PM,-1161843.50,-17055.35,1424364.75,245465.87
57207,2037/09/18 05:27:19 PM,-1161863.50,-17053.83,1424387.37,245470.00
