Interval Data Recording,
,,,,,
Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh
55728,2037/09/04 03:17:46 AM,32320.93,30635.46,25541.75,88498.14
55729,2037/09/04 03:32:47 AM,32321.56,30636.00,25542.34,88499.90
55730,2037/09/04 03:47:47 AM,32322.13,30636.52,25542.93,88501.58
55731,2037/09/04 04:02:48 AM,32322.70,30637.04,25543.51,88503.23
55732,2037/09/04 04:17:48 AM,32323.25,30637.55,25544.08,88504.87
55733,2037/09/04 04:32:48 AM,32323.82,30638.08,25544.66,88506.56
55734,2037/09/04 04:47:49 AM,32324.37,30638.66,25545.24,88508.27
55735,2037/09/04 05:02:49 AM,32324.92,30639.20,25545.81,88509.94
55736,2037/09/04 05:17:50 AM,32325.48,30639.72,25546.36,88511.56
55737,2037/09/04 05:32:50 AM,32326.05,30640.24,25546.84,88513.12
55738,2037/09/04 05:47:51 AM,32326.62,30640.76,25547.36,88514.74
55739,2037/09/04 06:02:51 AM,32327.20,30641.27,25547.87,88516.34
55740,2037/09/04 06:17:52 AM,32327.77,30641.80,25548.42,88517.98
55741,2037/09/04 06:32:52 AM,32328.37,30642.31,25549.00,88519.68
55742,2037/09/04 06:47:53 AM,32328.96,30642.84,25549.57,88521.36
55743,2037/09/04 07:02:53 AM,32329.53,30643.34,25550.13,88523.00
55744,2037/09/04 07:17:54 AM,32330.09,30643.85,25550.59,88524.52
55745,2037/09/04 07:32:54 AM,32330.67,30644.36,25551.13,88526.16
55746,2037/09/04 07:47:55 AM,32331.26,30644.87,25551.71,88527.84
55747,2037/09/04 08:02:55 AM,32331.85,30645.37,25552.27,88529.50
55748,2037/09/04 08:17:56 AM,32332.44,30645.87,25552.82,88531.13
55749,2037/09/04 08:32:56 AM,32333.04,30646.38,25553.38,88532.80
55750,2037/09/04 08:47:57 AM,32333.67,30646.89,25553.89,88534.45
55751,2037/09/04 09:02:57 AM,32334.34,30647.40,25554.42,88536.16
55752,2037/09/04 09:17:58 AM,32335.03,30647.91,25554.98,88537.91
55753,2037/09/04 09:32:58 AM,32335.70,30648.41,25555.47,88539.58
55754,2037/09/04 09:47:59 AM,32336.31,30648.92,25555.89,88541.12
55755,2037/09/04 10:02:59 AM,32336.97,30649.42,25556.35,88542.74
55756,2037/09/04 10:18:00 AM,32337.63,30649.94,25556.86,88544.42
55757,2037/09/04 10:33:00 AM,32338.27,30650.44,25557.28,88545.98
55758,2037/09/04 10:48:00 AM,32338.89,30650.96,25557.70,88547.54
55759,2037/09/04 11:03:01 AM,32339.50,30651.46,25558.12,88549.08
55760,2037/09/04 11:18:01 AM,32340.12,30651.96,25558.54,88550.62
55761,2037/09/04 11:33:02 AM,32340.79,30652.46,25559.00,88552.25
55762,2037/09/04 11:48:02 AM,32341.45,30652.97,25559.45,88553.87
55763,2037/09/04 12:03:03 PM,32342.08,30653.47,25559.87,88555.42
55764,2037/09/04 12:18:03 PM,32342.72,30653.98,25560.30,88556.99
55765,2037/09/04 12:33:04 PM,32343.33,30654.48,25560.73,88558.54
55766,2037/09/04 12:48:04 PM,32343.97,30654.99,25561.16,88560.12
55767,2037/09/04 01:03:05 PM,32344.62,30655.50,25561.59,88561.71
55768,2037/09/04 01:18:05 PM,32345.23,30656.00,25562.08,88563.31
55769,2037/09/04 01:33:06 PM,32345.80,30656.50,25562.52,88564.82
55770,2037/09/04 01:48:06 PM,32346.39,30657.01,25562.91,88566.30
55771,2037/09/04 02:03:07 PM,32347.00,30657.51,25563.32,88567.83
55772,2037/09/04 02:18:07 PM,32347.63,30658.01,25563.74,88569.37
55773,2037/09/04 02:33:08 PM,32348.32,30658.52,25564.21,88571.05
55774,2037/09/04 02:48:08 PM,32348.95,30659.07,25564.62,88572.63
55775,2037/09/04 03:03:09 PM,32349.55,30659.60,25565.03,88574.19
55776,2037/09/04 03:18:09 PM,32350.13,30660.14,25565.45,88575.72
55777,2037/09/04 03:33:10 PM,32350.74,30660.68,25565.88,88577.30
55778,2037/09/04 03:48:10 PM,32351.35,30661.23,25566.30,88578.88
55779,2037/09/04 04:03:11 PM,32352.00,30661.77,25566.74,88580.52
55780,2037/09/04 04:18:11 PM,32352.60,30662.31,25567.19,88582.10
55781,2037/09/04 04:33:12 PM,32353.22,30662.86,25567.70,88583.77
55782,2037/09/04 04:48:12 PM,32353.82,30663.40,25568.21,88585.44
55783,2037/09/04 05:03:13 PM,32354.41,30663.94,25568.67,88587.02
55784,2037/09/04 05:18:13 PM,32355.02,30664.50,25569.09,88588.61
55785,2037/09/04 05:33:13 PM,32355.63,30665.04,25569.52,88590.20
55786,2037/09/04 05:48:14 PM,32356.26,30665.59,25569.97,88591.81
55787,2037/09/04 06:03:14 PM,32356.89,30666.12,25570.42,88593.44
55788,2037/09/04 06:18:15 PM,32357.49,30666.69,25570.81,88594.99
55789,2037/09/04 06:33:15 PM,32358.13,30667.24,25571.25,88596.62
55790,2037/09/04 06:48:16 PM,32358.73,30667.78,25571.65,88598.17
55791,2037/09/04 07:03:16 PM,32359.31,30668.33,25572.07,88599.70
55792,2037/09/04 07:18:17 PM,32359.92,30668.87,25572.53,88601.32
55793,2037/09/04 07:33:17 PM,32360.52,30669.42,25572.93,88602.87
55794,2037/09/04 07:48:18 PM,32361.16,30669.98,25573.38,88604.52
55795,2037/09/04 08:03:18 PM,32361.78,30670.52,25573.80,88606.11
55796,2037/09/04 08:18:19 PM,32362.44,30671.06,25574.24,88607.73
55797,2037/09/04 08:33:19 PM,32363.04,30671.61,25574.65,88609.30
55798,2037/09/04 08:48:20 PM,32363.68,30672.15,25575.08,88610.91
55799,2037/09/04 09:03:20 PM,32364.28,30672.69,25575.52,88612.48
55800,2037/09/04 09:18:21 PM,32364.87,30673.24,25575.92,88614.03
55801,2037/09/04 09:33:21 PM,32365.47,30673.80,25576.30,88615.58
55802,2037/09/04 09:48:22 PM,32366.08,30674.33,25576.72,88617.12
55803,2037/09/04 10:03:22 PM,32366.72,30674.86,25577.22,88618.80
55804,2037/09/04 10:18:23 PM,32367.35,30675.39,25577.66,88620.41
55805,2037/09/04 10:33:23 PM,32367.98,30675.93,25578.09,88622.00
55806,2037/09/04 10:48:24 PM,32368.59,30676.46,25578.53,88623.58
55807,2037/09/04 11:03:24 PM,32369.22,30676.98,25579.06,88625.27
55808,2037/09/04 11:18:25 PM,32369.87,30677.51,25579.59,88626.97
55809,2037/09/04 11:33:25 PM,32370.53,30678.03,25580.13,88628.70
55810,2037/09/04 11:48:25 PM,32371.15,30678.57,25580.66,88630.37
55811,2037/09/05 12:03:26 AM,32371.78,30679.10,25581.16,88632.05
55812,2037/09/05 12:18:26 AM,32372.44,30679.65,25581.63,88633.71
55813,2037/09/05 12:33:27 AM,32373.09,30680.19,25582.13,88635.41
55814,2037/09/05 12:48:27 AM,32373.76,30680.75,25582.66,88637.16
55815,2037/09/05 01:03:28 AM,32374.38,30681.27,25583.11,88638.77
55816,2037/09/05 01:18:28 AM,32375.08,30681.81,25583.59,88640.48
55817,2037/09/05 01:33:29 AM,32375.71,30682.32,25583.99,88642.02
55818,2037/09/05 01:48:29 AM,32376.37,30682.83,25584.55,88643.75
55819,2037/09/05 02:03:30 AM,32377.02,30683.36,25585.06,88645.45
55820,2037/09/05 02:18:30 AM,32377.69,30683.90,25585.54,88647.13
55821,2037/09/05 02:33:31 AM,32378.35,30684.42,25586.07,88648.84
55822,2037/09/05 02:48:31 AM,32378.98,30684.94,25586.56,88650.48
55823,2037/09/05 03:03:32 AM,32379.62,30685.46,25587.10,88652.18
55824,2037/09/05 03:18:32 AM,32380.27,30686.02,25587.64,88653.93
55825,2037/09/05 03:33:33 AM,32380.91,30686.57,25588.18,88655.66
55826,2037/09/05 03:48:33 AM,32381.57,30687.13,25588.71,88657.40
55827,2037/09/05 04:03:34 AM,32382.22,30687.67,25589.21,88659.10
55828,2037/09/05 04:18:34 AM,32382.89,30688.23,25589.74,88660.86
55829,2037/09/05 04:33:35 AM,32383.57,30688.79,25590.30,88662.66
55830,2037/09/05 04:48:35 AM,32384.29,30689.35,25590.88,88664.52
55831,2037/09/05 05:03:36 AM,32384.96,30689.95,25591.45,88666.36
55832,2037/09/05 05:18:36 AM,32385.62,30690.54,25592.01,88668.16
55833,2037/09/05 05:33:37 AM,32386.29,30691.10,25592.59,88669.98
55834,2037/09/05 05:48:37 AM,32386.96,30691.66,25593.15,88671.77
55835,2037/09/05 06:03:37 AM,32387.65,30692.25,25593.75,88673.66
55836,2037/09/05 06:18:38 AM,32388.33,30692.83,25594.32,88675.48
55837,2037/09/05 06:33:38 AM,32389.00,30693.39,25594.90,88677.28
55838,2037/09/05 06:48:39 AM,32389.64,30693.94,25595.49,88679.07
55839,2037/09/05 07:03:39 AM,32390.30,30694.51,25596.04,88680.84
55840,2037/09/05 07:18:40 AM,32390.95,30695.08,25596.58,88682.61
55841,2037/09/05 07:33:40 AM,32391.59,30695.64,25597.11,88684.34
55842,2037/09/05 07:48:41 AM,32392.23,30696.20,25597.66,88686.09
55843,2037/09/05 08:03:41 AM,32392.90,30696.76,25598.22,88687.87
55844,2037/09/05 08:18:42 AM,32393.57,30697.30,25598.78,88689.66
55845,2037/09/05 08:33:42 AM,32394.24,30697.83,25599.30,88691.37
55846,2037/09/05 08:48:43 AM,32394.88,30698.35,25599.82,88693.06
55847,2037/09/05 09:03:43 AM,32395.54,30698.90,25600.34,88694.78
55848,2037/09/05 09:18:44 AM,32396.21,30699.43,25600.88,88696.52
55849,2037/09/05 09:33:44 AM,32396.85,30699.95,25601.38,88698.19
55850,2037/09/05 09:48:45 AM,32397.46,30700.48,25601.87,88699.81
55851,2037/09/05 10:03:45 AM,32398.10,30701.01,25602.37,88701.47
55852,2037/09/05 10:18:46 AM,32398.74,30701.53,25602.87,88703.14
55853,2037/09/05 10:33:46 AM,32399.40,30702.04,25603.31,88704.75
55854,2037/09/05 10:48:47 AM,32400.01,30702.56,25603.68,88706.26
55855,2037/09/05 11:03:47 AM,32400.63,30703.08,25604.07,88707.78
55856,2037/09/05 11:18:48 AM,32401.27,30703.63,25604.54,88709.44
55857,2037/09/05 11:33:48 AM,32401.89,30704.15,25604.96,88711.01
55858,2037/09/05 11:48:49 AM,32402.53,30704.67,25605.36,88712.56
55859,2037/09/05 12:03:49 PM,32403.18,30705.19,25605.86,88714.23
55860,2037/09/05 12:18:49 PM,32403.88,30705.72,25606.42,88716.02
55861,2037/09/05 12:33:50 PM,32404.54,30706.25,25606.95,88717.73
55862,2037/09/05 12:48:50 PM,32405.15,30706.77,25607.41,88719.32
55863,2037/09/05 01:03:51 PM,32405.75,30707.29,25607.77,88720.81
55864,2037/09/05 01:18:51 PM,32406.38,30707.81,25608.17,88722.36
55865,2037/09/05 01:33:52 PM,32407.01,30708.32,25608.57,88723.91
55866,2037/09/05 01:48:52 PM,32407.63,30708.84,25608.96,88725.43
55867,2037/09/05 02:03:53 PM,32408.28,30709.38,25609.40,88727.06
55868,2037/09/05 02:18:53 PM,32408.92,30709.90,25609.80,88728.62
55869,2037/09/05 02:33:54 PM,32409.59,30710.42,25610.23,88730.23
55870,2037/09/05 02:48:54 PM,32410.21,30710.94,25610.64,88731.79
55871,2037/09/05 03:03:55 PM,32410.85,30711.46,25611.05,88733.36
55872,2037/09/05 03:18:55 PM,32411.52,30712.01,25611.49,88735.02
55873,2037/09/05 03:33:56 PM,32412.14,30712.53,25611.99,88736.67
55874,2037/09/05 03:48:56 PM,32412.75,30713.06,25612.50,88738.31
55875,2037/09/05 04:03:57 PM,32413.43,30713.58,25613.02,88740.02
55876,2037/09/05 04:18:57 PM,32414.01,30714.10,25613.41,88741.52
55877,2037/09/05 04:33:58 PM,32414.61,30714.62,25613.78,88743.01
55878,2037/09/05 04:48:58 PM,32415.20,30715.15,25614.16,88744.52
55879,2037/09/05 05:03:59 PM,32415.78,30715.67,25614.54,88745.99
55880,2037/09/05 05:18:59 PM,32416.35,30716.20,25614.92,88747.47
55881,2037/09/05 05:34:00 PM,32416.94,30716.72,25615.30,88748.97
55882,2037/09/05 05:49:00 PM,32417.58,30717.25,25615.68,88750.50
55883,2037/09/05 06:04:01 PM,32418.18,30717.77,25616.06,88752.02
55884,2037/09/05 06:19:01 PM,32418.78,30718.29,25616.49,88753.56
55885,2037/09/05 06:34:01 PM,32419.42,30718.83,25616.90,88755.16
55886,2037/09/05 06:49:02 PM,32419.99,30719.35,25617.25,88756.59
55887,2037/09/05 07:04:02 PM,32420.59,30719.88,25617.70,88758.16
55888,2037/09/05 07:19:03 PM,32421.18,30720.42,25618.09,88759.69
55889,2037/09/05 07:34:03 PM,32421.81,30720.94,25618.45,88761.20
55890,2037/09/05 07:49:04 PM,32422.40,30721.47,25618.85,88762.72
55891,2037/09/05 08:04:04 PM,32423.01,30722.00,25619.24,88764.26
55892,2037/09/05 08:19:05 PM,32423.69,30722.53,25619.65,88765.86
55893,2037/09/05 08:34:05 PM,32424.29,30723.05,25620.05,88767.39
55894,2037/09/05 08:49:06 PM,32424.91,30723.57,25620.44,88768.92
55895,2037/09/05 09:04:06 PM,32425.58,30724.10,25620.87,88770.55
55896,2037/09/05 09:19:07 PM,32426.23,30724.62,25621.29,88772.14
55897,2037/09/05 09:34:07 PM,32426.93,30725.16,25621.72,88773.80
55898,2037/09/05 09:49:08 PM,32427.52,30725.70,25622.12,88775.34
55899,2037/09/05 10:04:08 PM,32428.15,30726.23,25622.49,88776.87
55900,2037/09/05 10:19:09 PM,32428.80,30726.75,25622.92,88778.47
55901,2037/09/05 10:34:09 PM,32429.45,30727.28,25623.40,88780.12
55902,2037/09/05 10:49:10 PM,32430.12,30727.80,25623.93,88781.85
55903,2037/09/05 11:04:10 PM,32430.76,30728.33,25624.45,88783.54
55904,2037/09/05 11:19:11 PM,32431.40,30728.87,25624.96,88785.23
55905,2037/09/05 11:34:11 PM,32432.03,30729.40,25625.47,88786.91
55906,2037/09/05 11:49:12 PM,32432.66,30729.93,25625.98,88788.57
55907,2037/09/06 12:04:12 AM,32433.30,30730.47,25626.43,88790.21
55908,2037/09/06 12:19:13 AM,32433.90,30730.99,25626.92,88791.80
55909,2037/09/06 12:34:13 AM,32434.54,30731.56,25627.40,88793.50
55910,2037/09/06 12:49:14 AM,32435.18,30732.13,25627.89,88795.21
55911,2037/09/06 01:04:14 AM,32435.83,30732.66,25628.40,88796.89
55912,2037/09/06 01:19:14 AM,32436.48,30733.19,25628.91,88798.58
55913,2037/09/06 01:34:15 AM,32437.16,30733.72,25629.44,88800.31
55914,2037/09/06 01:49:15 AM,32437.80,30734.25,25629.93,88801.98
55915,2037/09/06 02:04:16 AM,32438.43,30734.80,25630.43,88803.66
55916,2037/09/06 02:19:16 AM,32439.08,30735.33,25630.94,88805.35
55917,2037/09/06 02:34:17 AM,32439.71,30735.90,25631.42,88807.03
55918,2037/09/06 02:49:17 AM,32440.36,30736.47,25631.94,88808.77
55919,2037/09/06 03:04:18 AM,32440.99,30737.04,25632.43,88810.47
55920,2037/09/06 03:19:18 AM,32441.63,30737.65,25632.93,88812.20
55921,2037/09/06 03:34:19 AM,32442.27,30738.23,25633.43,88813.94
55922,2037/09/06 03:49:19 AM,32442.95,30738.82,25633.97,88815.75
55923,2037/09/06 04:04:20 AM,32443.59,30739.41,25634.49,88817.50
55924,2037/09/06 04:19:20 AM,32444.22,30739.99,25635.02,88819.23
55925,2037/09/06 04:34:21 AM,32444.85,30740.56,25635.51,88820.91
55926,2037/09/06 04:49:21 AM,32445.45,30741.11,25635.99,88822.55
55927,2037/09/06 05:04:22 AM,32446.07,30741.65,25636.51,88824.23
55928,2037/09/06 05:19:22 AM,32446.72,30742.22,25636.99,88825.94
55929,2037/09/06 05:34:23 AM,32447.42,30742.86,25637.45,88827.73
55930,2037/09/06 05:49:23 AM,32448.07,30743.47,25637.97,88829.52
55931,2037/09/06 06:04:24 AM,32448.74,30744.09,25638.52,88831.34
55932,2037/09/06 06:19:24 AM,32449.40,30744.73,25639.04,88833.17
55933,2037/09/06 06:34:25 AM,32450.04,30745.34,25639.58,88834.96
55934,2037/09/06 06:49:25 AM,32450.69,30745.96,25640.10,88836.75
55935,2037/09/06 07:04:26 AM,32451.35,30746.57,25640.60,88838.52
55936,2037/09/06 07:19:26 AM,32451.97,30747.19,25641.08,88840.24
55937,2037/09/06 07:34:26 AM,32452.61,30747.79,25641.58,88841.98
55938,2037/09/06 07:49:27 AM,32453.25,30748.42,25642.09,88843.76
55939,2037/09/06 08:04:27 AM,32453.93,30749.05,25642.62,88845.59
55940,2037/09/06 08:19:28 AM,32454.58,30749.68,25643.09,88847.35
55941,2037/09/06 08:34:28 AM,32455.23,30750.29,25643.49,88849.01
55942,2037/09/06 08:49:29 AM,32455.87,30750.88,25643.92,88850.66
55943,2037/09/06 09:04:29 AM,32456.55,30751.47,25644.44,88852.46
55944,2037/09/06 09:19:30 AM,32457.18,30752.05,25644.89,88854.12
55945,2037/09/06 09:34:30 AM,32457.84,30752.63,25645.33,88855.80
55946,2037/09/06 09:49:31 AM,32458.48,30753.21,25645.74,88857.43
55947,2037/09/06 10:04:31 AM,32459.14,30753.77,25646.20,88859.12
55948,2037/09/06 10:19:32 AM,32459.80,30754.32,25646.67,88860.79
55949,2037/09/06 10:34:32 AM,32460.45,30754.85,25647.07,88862.37
55950,2037/09/06 10:49:33 AM,32461.14,30755.37,25647.53,88864.04
55951,2037/09/06 11:04:33 AM,32461.77,30755.89,25647.92,88865.58
55952,2037/09/06 11:19:34 AM,32462.39,30756.43,25648.29,88867.12
55953,2037/09/06 11:34:34 AM,32462.98,30756.94,25648.65,88868.58
55954,2037/09/06 11:49:35 AM,32463.61,30757.46,25649.04,88870.11
55955,2037/09/06 12:04:35 PM,32464.27,30757.99,25649.45,88871.71
55956,2037/09/06 12:19:36 PM,32464.89,30758.51,25649.85,88873.24
55957,2037/09/06 12:34:36 PM,32465.54,30759.03,25650.31,88874.87
55958,2037/09/06 12:49:37 PM,32466.15,30759.54,25650.76,88876.45
55959,2037/09/06 01:04:37 PM,32466.77,30760.07,25651.20,88878.03
55960,2037/09/06 01:19:38 PM,32467.43,30760.59,25651.59,88879.61
55961,2037/09/06 01:34:38 PM,32468.04,30761.11,25651.99,88881.13
55962,2037/09/06 01:49:38 PM,32468.65,30761.64,25652.38,88882.66
55963,2037/09/06 02:04:39 PM,32469.28,30762.16,25652.79,88884.23
