Interval Data Recording,
,,,,,
Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh
61504,2037/11/02 05:41:23 AM,245920.00,230377.02,266342.53,742639.50
61505,2037/11/02 05:56:24 AM,245926.98,230384.48,266351.22,742662.69
61506,2037/11/02 06:11:24 AM,245937.39,230393.64,266363.31,742694.37
61507,2037/11/02 06:26:25 AM,245947.27,230402.94,266374.81,742725.00
61508,2037/11/02 06:41:25 AM,245957.30,230411.70,266386.56,742755.56
61509,2037/11/02 06:56:26 AM,245966.87,230420.64,266397.75,742785.25
61510,2037/11/02 07:11:26 AM,245977.16,230430.31,266409.66,742817.12
61511,2037/11/02 07:26:26 AM,245985.70,230438.45,266419.59,742843.75
61512,2037/11/02 07:41:27 AM,245994.89,230446.55,266430.28,742871.75
61513,2037/11/02 07:56:27 AM,246003.41,230453.94,266440.25,742897.62
61514,2037/11/02 08:11:28 AM,246012.00,230461.56,266449.97,742923.50
61515,2037/11/02 08:26:28 AM,246020.30,230469.62,266459.09,742949.00
61516,2037/11/02 08:41:29 AM,246028.62,230477.44,266468.28,742974.37
61517,2037/11/02 08:56:29 AM,246035.67,230484.25,266476.03,742996.00
61518,2037/11/02 09:11:30 AM,246041.48,230490.12,266482.72,743014.37
61519,2037/11/02 09:26:30 AM,246046.83,230496.03,266489.03,743031.87
61520,2037/11/02 09:41:31 AM,246052.52,230502.27,266495.66,743050.44
61521,2037/11/02 09:56:31 AM,246058.61,230508.97,266502.78,743070.37
61522,2037/11/02 10:11:32 AM,246067.12,230518.12,266512.75,743098.00
61523,2037/11/02 10:26:32 AM,246077.11,230527.61,266524.62,743129.37
61524,2037/11/02 10:41:32 AM,246086.44,230536.80,266535.72,743159.00
61525,2037/11/02 10:56:33 AM,246094.25,230544.61,266545.34,743184.25
61526,2037/11/02 11:11:33 AM,246103.17,230553.37,266556.03,743212.62
61527,2037/11/02 11:26:34 AM,246111.84,230561.75,266566.50,743240.12
61528,2037/11/02 11:41:34 AM,246120.05,230569.69,266576.44,743266.19
61529,2037/11/02 11:56:35 AM,246128.75,230578.47,266586.75,743294.00
61530,2037/11/02 12:11:35 PM,246137.00,230586.98,266596.56,743320.56
61531,2037/11/02 12:26:36 PM,246143.95,230594.69,266605.09,743343.75
61532,2037/11/02 12:41:36 PM,246151.27,230602.73,266614.09,743368.12
61533,2037/11/02 12:56:37 PM,246158.20,230609.97,266622.50,743390.69
61534,2037/11/02 01:11:37 PM,246164.28,230616.30,266630.22,743410.75
61535,2037/11/02 01:26:38 PM,246169.84,230622.22,266637.41,743429.50
61536,2037/11/02 01:41:38 PM,246174.66,230627.44,266643.84,743445.94
61537,2037/11/02 01:56:39 PM,246179.30,230632.37,266650.03,743461.75
61538,2037/11/02 02:11:39 PM,246183.91,230637.41,266656.22,743477.50
61539,2037/11/02 02:26:39 PM,246188.36,230642.72,266662.66,743493.75
