Timestamp,Description,IP,Slave,Register,Register_Name,Value
2025-07-07 14:58:48,PM B2 Substation,10.129.7.19,12,1165,Line Frequency (MSW),60.02537536621094
2025-07-07 14:58:48,PM Autoclave 5,10.129.7.10,6,1165,Line Frequency (MSW),60.0
2025-07-07 14:58:48,PM C2P Substation,10.129.7.25,5,1165,Line Frequency (MSW),60.07646179199219
2025-07-07 14:58:48,PM Autoclave 10,10.129.7.15,20,1165,Line Frequency (MSW),60.24808120727539
2025-07-07 14:58:48,PM C1L1 Substation,10.129.7.21,3,1165,Line Frequency (MSW),60.17319869995117
2025-07-07 14:58:48,PM C1L2 Substation,10.129.7.22,4,1165,Line Frequency (MSW),60.159690856933594
2025-07-07 14:58:48,PM A1 Substation,10.129.7.17,14,1165,Line Frequency (MSW),60.18033981323242
2025-07-07 14:58:48,PM C2L Substation,10.129.7.24,9,1165,Line Frequency (MSW),60.110816955566406
2025-07-07 14:58:48,PM A3 Substation,10.129.7.18,16,1165,Line Frequency (MSW),60.18718338012695
2025-07-07 14:58:48,PM Drop Bottom,10.129.7.16,15,1165,Line Frequency (MSW),60.148094177246094
2025-07-07 14:58:48,PM Autoclave 9,10.129.7.14,23,1165,Line Frequency (MSW),60.070556640625
2025-07-07 14:58:48,PM Autoclave 8,10.129.7.13,8,1165,Line Frequency (MSW),60.134334564208984
2025-07-07 14:58:48,PM Autoclave 6,10.129.7.11,22,1165,Line Frequency (MSW),60.030887603759766
2025-07-07 14:58:48,PM Autoclave 3,10.129.7.7,17,1165,Line Frequency (MSW),60.0
2025-07-07 14:58:48,PM Autoclave 4,10.129.7.9,18,1165,Line Frequency (MSW),60.0
2025-07-07 14:58:48,PM B3 Substation,10.129.7.20,13,1165,Line Frequency (MSW),60.04164123535156
2025-07-07 14:58:48,PM Autoclave 1,10.129.7.6,19,1165,Line Frequency (MSW),60.19917297363281
2025-07-07 14:58:48,PM C1A Substation,10.129.7.23,11,1165,Line Frequency (MSW),60.00615310668945
