Time,Description,IP,Slave,Register,Register_Name,Value
2025-07-11 08:45:19,PM C1L1 Substation,10.129.7.21,3,2350,Active Energy Net CH3 (MSW),28693.15625
2025-07-11 08:50:19,PM C1L1 Substation,10.129.7.21,3,2350,Active Energy Net CH3 (MSW),28693.25
2025-07-11 08:55:20,PM C1L1 Substation,10.129.7.21,3,2350,Active Energy Net CH3 (MSW),28693.345703125
2025-07-11 09:00:20,PM C1L1 Substation,10.129.7.21,3,2350,Active Energy Net CH3 (MSW),28693.44140625
2025-07-11 09:05:20,PM C1L1 Substation,10.129.7.21,3,2350,Active Energy Net CH3 (MSW),28693.537109375
2025-07-11 09:10:20,PM C1L2 Substation,10.129.7.22,4,2350,Active Energy Net CH3 (MSW),111129.8203125
2025-07-11 09:15:20,PM C1L2 Substation,10.129.7.22,4,2350,Active Energy Net CH3 (MSW),111130.4921875
2025-07-11 09:20:20,PM C1L2 Substation,10.129.7.22,4,2350,Active Energy Net CH3 (MSW),111131.125
2025-07-11 09:25:20,PM C1L2 Substation,10.129.7.22,4,2350,Active Energy Net CH3 (MSW),111131.75
2025-07-11 09:30:20,PM C1L2 Substation,10.129.7.22,4,2350,Active Energy Net CH3 (MSW),111132.3984375
2025-07-11 09:35:20,PM C2P Substation,10.129.7.25,5,2350,Active Energy Net CH3 (MSW),76581.390625
2025-07-11 09:40:20,PM C2P Substation,10.129.7.25,5,2350,Active Energy Net CH3 (MSW),76581.96875
2025-07-11 09:45:20,PM C2P Substation,10.129.7.25,5,2350,Active Energy Net CH3 (MSW),76582.5703125
2025-07-11 09:50:20,PM C2P Substation,10.129.7.25,5,2350,Active Energy Net CH3 (MSW),76583.1796875
