Timestamp,Description,IP,Slave,Register,Register_Name,Value
2025-07-25 09:27:24 AM,PM C2P Substation,10.129.7.25,5,1199,Exported Energy Sum Element (MSW),14.230514526367188
2025-07-25 09:27:24 AM,PM C1L2 Substation,10.129.7.22,4,1199,Exported Energy Sum Element (MSW),2.350861359445844e-05
2025-07-25 09:27:24 AM,PM Autoclave 6,10.129.7.11,22,1199,Exported Energy Sum Element (MSW),120568.859375
2025-07-25 09:27:24 AM,PM Autoclave 2,10.129.7.8,7,1199,Exported Energy Sum Element (MSW),10909.248046875
2025-07-25 09:27:24 AM,PM Autoclave 5,10.129.7.10,6,1199,Exported Energy Sum Element (MSW),4.876801490783691
2025-07-25 09:27:24 AM,PM A1 Substation,10.129.7.17,14,1199,Exported Energy Sum Element (MSW),1.7293050404987298e-05
2025-07-25 09:27:24 AM,PM B2 Substation,10.129.7.19,12,1199,Exported Energy Sum Element (MSW),1.740011794026941e-05
2025-07-25 09:27:24 AM,PM B3 Substation,10.129.7.20,13,1199,Exported Energy Sum Element (MSW),8.820409675536212e-06
2025-07-25 09:27:24 AM,PM Autoclave 1,10.129.7.6,19,1199,Exported Energy Sum Element (MSW),60.71337127685547
2025-07-25 09:27:24 AM,PM C1A Substation,10.129.7.23,11,1199,Exported Energy Sum Element (MSW),1349718.625
2025-07-25 09:27:24 AM,PM C2L Substation,10.129.7.24,9,1199,Exported Energy Sum Element (MSW),1.618854730622843e-05
2025-07-25 09:27:24 AM,PM Autoclave 3,10.129.7.7,17,1199,Exported Energy Sum Element (MSW),0.01963724009692669
2025-07-25 09:27:24 AM,PM A3 Substation,10.129.7.18,16,1199,Exported Energy Sum Element (MSW),104.28021240234375
2025-07-25 09:27:24 AM,PM Autoclave 8,10.129.7.13,8,1199,Exported Energy Sum Element (MSW),0.0008957890677265823
2025-07-25 09:27:24 AM,PM Autoclave 9,10.129.7.14,23,1199,Exported Energy Sum Element (MSW),139.5840301513672
2025-07-25 09:27:24 AM,PM C1L1 Substation,10.129.7.21,3,1199,Exported Energy Sum Element (MSW),1.4759595615032595e-05
2025-07-25 09:27:24 AM,PM Drop Bottom,10.129.7.16,15,1199,Exported Energy Sum Element (MSW),1021.1529541015625
2025-07-25 09:27:24 AM,PM Autoclave 10,10.129.7.15,20,1199,Exported Energy Sum Element (MSW),323.0376281738281
