Timestamp,Description,IP,Slave,Register,Register_Name,Value
2025-07-16 14:30:48 PM,PM C1L2 Substation,10.129.7.22,4,1213,Imported Energy CH3 (MSW),112595.78125
2025-07-16 14:30:48 PM,PM C2P Substation,10.129.7.25,5,1213,Imported Energy CH3 (MSW),77780.3984375
2025-07-16 14:30:48 PM,PM C2L Substation,10.129.7.24,9,1213,Imported Energy CH3 (MSW),82631.46875
2025-07-16 14:30:48 PM,PM B2 Substation,10.129.7.19,12,1213,Imported Energy CH3 (MSW),313573.5
2025-07-16 14:30:48 PM,PM C1A Substation,10.129.7.23,11,1213,Imported Energy CH3 (MSW),1548141.375
2025-07-16 14:30:48 PM,PM Autoclave 8,10.129.7.13,8,1213,Imported Energy CH3 (MSW),60502.62890625
2025-07-16 14:30:48 PM,PM Autoclave 5,10.129.7.10,6,1213,Imported Energy CH3 (MSW),195833.171875
2025-07-16 14:30:48 PM,PM A1 Substation,10.129.7.17,14,1213,Imported Energy CH3 (MSW),2922656.5
2025-07-16 14:30:48 PM,PM B3 Substation,10.129.7.20,13,1213,Imported Energy CH3 (MSW),931565.375
2025-07-16 14:30:48 PM,PM Autoclave 2,10.129.7.8,7,1213,Imported Energy CH3 (MSW),7295.30810546875
2025-07-16 14:30:48 PM,PM C1L1 Substation,10.129.7.21,3,1213,Imported Energy CH3 (MSW),28953.9296875
2025-07-16 14:30:48 PM,PM A3 Substation,10.129.7.18,16,1213,Imported Energy CH3 (MSW),1363213.625
2025-07-16 14:30:48 PM,PM Autoclave 10,10.129.7.15,20,1213,Imported Energy CH3 (MSW),372706.90625
2025-07-16 14:30:48 PM,PM Autoclave 1,10.129.7.6,19,1213,Imported Energy CH3 (MSW),89429.359375
2025-07-16 14:30:48 PM,PM Autoclave 6,10.129.7.11,22,1213,Imported Energy CH3 (MSW),17884.703125
2025-07-16 14:30:48 PM,PM Autoclave 9,10.129.7.14,23,1213,Imported Energy CH3 (MSW),287246.6875
2025-07-16 14:30:48 PM,PM Autoclave 4,10.129.7.9,18,1213,Imported Energy CH3 (MSW),40903.921875
2025-07-16 14:30:48 PM,PM Autoclave 3,10.129.7.7,17,1213,Imported Energy CH3 (MSW),34503.78515625
2025-07-16 14:30:48 PM,PM Drop Bottom,10.129.7.16,15,1213,Imported Energy CH3 (MSW),295873.0625
2025-07-16 14:30:51 PM,PM C1L1 Substation,10.129.7.21,3,1213,Imported Energy CH3 (MSW),28953.9296875
2025-07-16 14:30:51 PM,PM C1L2 Substation,10.129.7.22,4,1213,Imported Energy CH3 (MSW),112595.7890625
2025-07-16 14:30:51 PM,PM Autoclave 10,10.129.7.15,20,1213,Imported Energy CH3 (MSW),372706.90625
2025-07-16 14:30:51 PM,PM Autoclave 2,10.129.7.8,7,1213,Imported Energy CH3 (MSW),7295.30859375
2025-07-16 14:30:51 PM,PM Autoclave 8,10.129.7.13,8,1213,Imported Energy CH3 (MSW),60502.62890625
2025-07-16 14:30:51 PM,PM Autoclave 6,10.129.7.11,22,1213,Imported Energy CH3 (MSW),17884.703125
2025-07-16 14:30:51 PM,PM B2 Substation,10.129.7.19,12,1213,Imported Energy CH3 (MSW),313573.5
2025-07-16 14:30:51 PM,PM B3 Substation,10.129.7.20,13,1213,Imported Energy CH3 (MSW),931565.375
2025-07-16 14:30:51 PM,PM Autoclave 9,10.129.7.14,23,1213,Imported Energy CH3 (MSW),287246.75
2025-07-16 14:30:51 PM,PM A1 Substation,10.129.7.17,14,1213,Imported Energy CH3 (MSW),2922656.5
2025-07-16 14:30:51 PM,PM C2L Substation,10.129.7.24,9,1213,Imported Energy CH3 (MSW),82631.4765625
2025-07-16 14:30:51 PM,PM Autoclave 1,10.129.7.6,19,1213,Imported Energy CH3 (MSW),89429.3671875
2025-07-16 14:30:51 PM,PM Autoclave 5,10.129.7.10,6,1213,Imported Energy CH3 (MSW),195833.1875
2025-07-16 14:30:51 PM,PM A3 Substation,10.129.7.18,16,1213,Imported Energy CH3 (MSW),1363213.625
2025-07-16 14:30:51 PM,PM C1A Substation,10.129.7.23,11,1213,Imported Energy CH3 (MSW),1548141.625
2025-07-16 14:30:51 PM,PM Drop Bottom,10.129.7.16,15,1213,Imported Energy CH3 (MSW),295873.0625
2025-07-16 14:30:51 PM,PM Autoclave 3,10.129.7.7,17,1213,Imported Energy CH3 (MSW),34503.78515625
2025-07-16 14:30:51 PM,PM C2P Substation,10.129.7.25,5,1213,Imported Energy CH3 (MSW),77780.40625
2025-07-16 14:30:51 PM,PM Autoclave 4,10.129.7.9,18,1213,Imported Energy CH3 (MSW),40903.921875
