Timestamp,Description,IP,Slave,Register,Register_Name,Value
2025-07-14 07:48:34 AM,PM Autoclave 5,10.129.7.10,6,2350,Active Energy Net CH3 (MSW),195123.90625
2025-07-14 07:48:34 AM,PM C1L2 Substation,10.129.7.22,4,2350,Active Energy Net CH3 (MSW),111649.71875
2025-07-14 07:48:34 AM,PM C2P Substation,10.129.7.25,5,2350,Active Energy Net CH3 (MSW),76933.8984375
2025-07-14 07:48:34 AM,PM Autoclave 2,10.129.7.8,7,2350,Active Energy Net CH3 (MSW),3454.764892578125
2025-07-14 07:48:34 AM,PM Autoclave 9,10.129.7.14,23,2350,Active Energy Net CH3 (MSW),285757.96875
2025-07-14 07:48:34 AM,PM Autoclave 4,10.129.7.9,18,2350,Active Energy Net CH3 (MSW),40854.828125
2025-07-14 07:48:34 AM,PM Autoclave 1,10.129.7.6,19,2350,Active Energy Net CH3 (MSW),89183.0390625
2025-07-14 07:48:34 AM,PM C1L1 Substation,10.129.7.21,3,2350,Active Energy Net CH3 (MSW),28892.525390625
2025-07-14 07:48:34 AM,PM C2L Substation,10.129.7.24,9,2350,Active Energy Net CH3 (MSW),82132.3046875
2025-07-14 07:49:33 AM,PM Autoclave 2,10.129.7.8,7,2350,Active Energy Net CH3 (MSW),3454.78662109375
2025-07-14 07:49:33 AM,PM Autoclave 4,10.129.7.9,18,2350,Active Energy Net CH3 (MSW),40854.8671875
2025-07-14 07:49:33 AM,PM Autoclave 9,10.129.7.14,23,2350,Active Energy Net CH3 (MSW),285758.6875
2025-07-14 07:49:33 AM,PM C1L1 Substation,10.129.7.21,3,2350,Active Energy Net CH3 (MSW),28892.54296875
2025-07-14 07:49:33 AM,PM C1L2 Substation,10.129.7.22,4,2350,Active Energy Net CH3 (MSW),111649.8671875
2025-07-14 07:49:33 AM,PM C2L Substation,10.129.7.24,9,2350,Active Energy Net CH3 (MSW),82132.46875
2025-07-14 07:49:33 AM,PM C2P Substation,10.129.7.25,5,2350,Active Energy Net CH3 (MSW),76934.0078125
2025-07-14 07:49:33 AM,PM Autoclave 1,10.129.7.6,19,2350,Active Energy Net CH3 (MSW),89183.0390625
2025-07-14 07:49:33 AM,PM Autoclave 5,10.129.7.10,6,2350,Active Energy Net CH3 (MSW),195123.90625
2025-07-14 07:50:10 AM,PM Drop Bottom,10.129.7.16,15,2350,Active Energy Net CH3 (MSW),294607.46875
2025-07-14 07:50:10 AM,PM Autoclave 10,10.129.7.15,20,2350,Active Energy Net CH3 (MSW),370257.5625
2025-07-14 07:50:10 AM,PM A1 Substation,10.129.7.17,14,2350,Active Energy Net CH3 (MSW),2924215.0
2025-07-14 07:50:10 AM,PM A3 Substation,10.129.7.18,16,2350,Active Energy Net CH3 (MSW),1360607.25
2025-07-14 07:51:13 AM,PM Autoclave 10,10.129.7.15,20,2350,Active Energy Net CH3 (MSW),369334.84375
2025-07-14 07:51:13 AM,PM Autoclave 9,10.129.7.14,23,2350,Active Energy Net CH3 (MSW),285759.8125
2025-07-14 07:51:13 AM,PM C1L1 Substation,10.129.7.21,3,2350,Active Energy Net CH3 (MSW),28892.572265625
2025-07-14 07:51:13 AM,PM C1L2 Substation,10.129.7.22,4,2350,Active Energy Net CH3 (MSW),111650.1015625
2025-07-14 07:51:13 AM,PM Autoclave 2,10.129.7.8,7,2350,Active Energy Net CH3 (MSW),3454.82275390625
2025-07-14 07:51:13 AM,PM C2L Substation,10.129.7.24,9,2350,Active Energy Net CH3 (MSW),82132.7578125
2025-07-14 07:51:13 AM,PM Drop Bottom,10.129.7.16,15,2350,Active Energy Net CH3 (MSW),293551.4375
2025-07-14 07:51:13 AM,PM Autoclave 1,10.129.7.6,19,2350,Active Energy Net CH3 (MSW),89183.0625
2025-07-14 07:51:13 AM,PM Autoclave 4,10.129.7.9,18,2350,Active Energy Net CH3 (MSW),40854.9375
2025-07-14 07:51:13 AM,PM Autoclave 5,10.129.7.10,6,2350,Active Energy Net CH3 (MSW),195123.90625
2025-07-14 07:51:13 AM,PM A1 Substation,10.129.7.17,14,2350,Active Energy Net CH3 (MSW),2916593.5
2025-07-14 07:51:13 AM,PM A3 Substation,10.129.7.18,16,2350,Active Energy Net CH3 (MSW),1360381.5
2025-07-14 07:51:13 AM,PM C2P Substation,10.129.7.25,5,2350,Active Energy Net CH3 (MSW),76934.1953125
2025-07-14 07:51:41 AM,PM B3 Substation,10.129.7.20,13,2350,Active Energy Net CH3 (MSW),929544.875
2025-07-14 07:52:53 AM,PM C1L1 Substation,10.129.7.21,3,2350,Active Energy Net CH3 (MSW),28892.603515625
2025-07-14 07:52:53 AM,PM B3 Substation,10.129.7.20,13,2350,Active Energy Net CH3 (MSW),929545.625
2025-07-14 07:52:53 AM,PM C2L Substation,10.129.7.24,9,2350,Active Energy Net CH3 (MSW),82133.046875
2025-07-14 07:52:53 AM,PM Autoclave 4,10.129.7.9,18,2350,Active Energy Net CH3 (MSW),40855.00390625
2025-07-14 07:52:53 AM,PM Autoclave 2,10.129.7.8,7,2350,Active Energy Net CH3 (MSW),3454.858642578125
2025-07-14 07:52:53 AM,PM Autoclave 5,10.129.7.10,6,2350,Active Energy Net CH3 (MSW),195123.921875
2025-07-14 07:52:53 AM,PM Autoclave 9,10.129.7.14,23,2350,Active Energy Net CH3 (MSW),285760.875
2025-07-14 07:52:53 AM,PM Autoclave 10,10.129.7.15,20,2350,Active Energy Net CH3 (MSW),369335.96875
2025-07-14 07:52:53 AM,PM A1 Substation,10.129.7.17,14,2350,Active Energy Net CH3 (MSW),2916596.75
2025-07-14 07:52:53 AM,PM C2P Substation,10.129.7.25,5,2350,Active Energy Net CH3 (MSW),76934.375
2025-07-14 07:52:53 AM,PM A3 Substation,10.129.7.18,16,2350,Active Energy Net CH3 (MSW),1360382.75
2025-07-14 07:52:53 AM,PM Drop Bottom,10.129.7.16,15,2350,Active Energy Net CH3 (MSW),293552.4375
2025-07-14 07:52:53 AM,PM C1L2 Substation,10.129.7.22,4,2350,Active Energy Net CH3 (MSW),111650.328125
2025-07-14 07:52:53 AM,PM Autoclave 1,10.129.7.6,19,2350,Active Energy Net CH3 (MSW),89183.0859375
2025-07-14 07:53:21 AM,PM C1A Substation,10.129.7.23,11,2350,Active Energy Net CH3 (MSW),1542520.5
2025-07-14 07:53:21 AM,PM Autoclave 6,10.129.7.11,22,2350,Active Energy Net CH3 (MSW),17645.490234375
