Timestamp,Description,IP,Slave,Register,Register_Name,Value
13:26:2806:26:2025,PM C1L1 Substation,10.129.7.21,3,1191,Apparent PF Avg Element (MSW),0.8596774339675903
13:26:2906:26:2025,PM C1L1 Substation,10.129.7.21,3,1191,Apparent PF Avg Element (MSW),0.8598986268043518
13:26:3006:26:2025,PM C1L1 Substation,10.129.7.21,3,1191,Apparent PF Avg Element (MSW),0.8611907362937927
13:26:3106:26:2025,PM C1L1 Substation,10.129.7.21,3,1191,Apparent PF Avg Element (MSW),0.8626723885536194
13:26:3206:26:2025,PM C1L1 Substation,10.129.7.21,3,1191,Apparent PF Avg Element (MSW),0.8543306589126587
13:26:3406:26:2025,PM C1L2 Substation,10.129.7.22,4,1191,Apparent PF Avg Element (MSW),0.9486669898033142
13:26:3506:26:2025,PM C1L2 Substation,10.129.7.22,4,1191,Apparent PF Avg Element (MSW),0.9475309252738953
13:26:3606:26:2025,PM C1L2 Substation,10.129.7.22,4,1191,Apparent PF Avg Element (MSW),0.9479889273643494
13:26:3706:26:2025,PM C1L2 Substation,10.129.7.22,4,1191,Apparent PF Avg Element (MSW),0.9457792043685913
13:26:3806:26:2025,PM C1L2 Substation,10.129.7.22,4,1191,Apparent PF Avg Element (MSW),0.948890745639801
13:26:3906:26:2025,PM C2P Substation,10.129.7.25,5,1191,Apparent PF Avg Element (MSW),0.9910120964050293
13:26:4006:26:2025,PM C2P Substation,10.129.7.25,5,1191,Apparent PF Avg Element (MSW),0.9911894798278809
13:26:4206:26:2025,PM C2P Substation,10.129.7.25,5,1191,Apparent PF Avg Element (MSW),0.9885144233703613
13:26:4306:26:2025,PM C2P Substation,10.129.7.25,5,1191,Apparent PF Avg Element (MSW),0.9925786256790161
13:26:4406:26:2025,PM C2P Substation,10.129.7.25,5,1191,Apparent PF Avg Element (MSW),0.9930770397186279
13:26:4506:26:2025,PM Autoclave 5,10.129.7.10,6,1191,Apparent PF Avg Element (MSW),0.9103919267654419
13:26:4606:26:2025,PM Autoclave 5,10.129.7.10,6,1191,Apparent PF Avg Element (MSW),0.9313716888427734
13:26:4706:26:2025,PM Autoclave 5,10.129.7.10,6,1191,Apparent PF Avg Element (MSW),0.8398827314376831
13:26:4806:26:2025,PM Autoclave 5,10.129.7.10,6,1191,Apparent PF Avg Element (MSW),0.7424466609954834
13:26:4906:26:2025,PM Autoclave 5,10.129.7.10,6,1191,Apparent PF Avg Element (MSW),0.8445542454719543
13:27:5106:26:2025,PM Autoclave 2,10.129.7.8,7,1191,Apparent PF Avg Element (MSW),-0.09051980078220367
13:27:5206:26:2025,PM Autoclave 2,10.129.7.8,7,1191,Apparent PF Avg Element (MSW),-0.08835813403129578
13:27:5406:26:2025,PM Autoclave 8,10.129.7.13,8,1191,Apparent PF Avg Element (MSW),0.8887068033218384
13:27:5506:26:2025,PM Autoclave 8,10.129.7.13,8,1191,Apparent PF Avg Element (MSW),0.8587532043457031
13:27:5606:26:2025,PM Autoclave 8,10.129.7.13,8,1191,Apparent PF Avg Element (MSW),0.7648106813430786
13:27:5706:26:2025,PM Autoclave 8,10.129.7.13,8,1191,Apparent PF Avg Element (MSW),0.8556971549987793
13:27:5806:26:2025,PM Autoclave 8,10.129.7.13,8,1191,Apparent PF Avg Element (MSW),0.9069259762763977
13:27:5906:26:2025,PM C2L Substation,10.129.7.24,9,1191,Apparent PF Avg Element (MSW),0.8694209456443787
13:28:0006:26:2025,PM C2L Substation,10.129.7.24,9,1191,Apparent PF Avg Element (MSW),0.8725664019584656
13:28:0106:26:2025,PM C2L Substation,10.129.7.24,9,1191,Apparent PF Avg Element (MSW),0.8884273767471313
13:28:0206:26:2025,PM C2L Substation,10.129.7.24,9,1191,Apparent PF Avg Element (MSW),0.8798816204071045
13:28:0406:26:2025,PM C2L Substation,10.129.7.24,9,1191,Apparent PF Avg Element (MSW),0.8621527552604675
13:28:0506:26:2025,PM C1A Substation,10.129.7.23,11,1191,Apparent PF Avg Element (MSW),0.04364803433418274
13:28:0606:26:2025,PM C1A Substation,10.129.7.23,11,1191,Apparent PF Avg Element (MSW),0.048512980341911316
13:28:0706:26:2025,PM C1A Substation,10.129.7.23,11,1191,Apparent PF Avg Element (MSW),0.04387882351875305
13:28:0806:26:2025,PM C1A Substation,10.129.7.23,11,1191,Apparent PF Avg Element (MSW),0.033920228481292725
13:28:0906:26:2025,PM C1A Substation,10.129.7.23,11,1191,Apparent PF Avg Element (MSW),0.03978443145751953
13:28:1006:26:2025,PM B2 Substation,10.129.7.19,12,1191,Apparent PF Avg Element (MSW),0.8934543132781982
13:28:1106:26:2025,PM B2 Substation,10.129.7.19,12,1191,Apparent PF Avg Element (MSW),0.8674725890159607
13:28:1206:26:2025,PM B2 Substation,10.129.7.19,12,1191,Apparent PF Avg Element (MSW),0.8613283634185791
13:28:1406:26:2025,PM B2 Substation,10.129.7.19,12,1191,Apparent PF Avg Element (MSW),0.8840158581733704
13:28:1506:26:2025,PM B2 Substation,10.129.7.19,12,1191,Apparent PF Avg Element (MSW),0.8930176496505737
13:28:1606:26:2025,PM B3 Substation,10.129.7.20,13,1191,Apparent PF Avg Element (MSW),0.9510980248451233
13:28:1706:26:2025,PM B3 Substation,10.129.7.20,13,1191,Apparent PF Avg Element (MSW),0.9595921635627747
13:28:1806:26:2025,PM B3 Substation,10.129.7.20,13,1191,Apparent PF Avg Element (MSW),0.9551351070404053
13:28:1906:26:2025,PM B3 Substation,10.129.7.20,13,1191,Apparent PF Avg Element (MSW),0.949701189994812
13:28:2006:26:2025,PM B3 Substation,10.129.7.20,13,1191,Apparent PF Avg Element (MSW),0.955018162727356
