Timestamp,Description,IP,Slave,Register,Register_Name,Value
2025-07-14 07:48:34 AM,PM Autoclave 5,10.129.7.10,6,1209,Imported Energy CH1 (MSW),221485.953125
2025-07-14 07:48:34 AM,PM C1L2 Substation,10.129.7.22,4,1209,Imported Energy CH1 (MSW),102990.78125
2025-07-14 07:48:34 AM,PM C2P Substation,10.129.7.25,5,1209,Imported Energy CH1 (MSW),70941.96875
2025-07-14 07:48:34 AM,PM Autoclave 2,10.129.7.8,7,1209,Imported Energy CH1 (MSW),4691.5322265625
2025-07-14 07:48:34 AM,PM Autoclave 9,10.129.7.14,23,1209,Imported Energy CH1 (MSW),284524.25
2025-07-14 07:48:34 AM,PM Autoclave 4,10.129.7.9,18,1209,Imported Energy CH1 (MSW),43289.03515625
2025-07-14 07:48:34 AM,PM Autoclave 1,10.129.7.6,19,1209,Imported Energy CH1 (MSW),100126.4921875
2025-07-14 07:48:34 AM,PM C1L1 Substation,10.129.7.21,3,1209,Imported Energy CH1 (MSW),37220.85546875
2025-07-14 07:48:34 AM,PM C2L Substation,10.129.7.24,9,1209,Imported Energy CH1 (MSW),89790.28125
2025-07-14 07:49:33 AM,PM Autoclave 2,10.129.7.8,7,1209,Imported Energy CH1 (MSW),4691.54736328125
2025-07-14 07:49:33 AM,PM Autoclave 4,10.129.7.9,18,1209,Imported Energy CH1 (MSW),43289.09765625
2025-07-14 07:49:33 AM,PM Autoclave 9,10.129.7.14,23,1209,Imported Energy CH1 (MSW),284524.8125
2025-07-14 07:49:33 AM,PM C1L1 Substation,10.129.7.21,3,1209,Imported Energy CH1 (MSW),37220.92578125
2025-07-14 07:49:33 AM,PM C1L2 Substation,10.129.7.22,4,1209,Imported Energy CH1 (MSW),102990.8671875
2025-07-14 07:49:33 AM,PM C2L Substation,10.129.7.24,9,1209,Imported Energy CH1 (MSW),89790.53125
2025-07-14 07:49:33 AM,PM C2P Substation,10.129.7.25,5,1209,Imported Energy CH1 (MSW),70942.140625
2025-07-14 07:49:33 AM,PM Autoclave 1,10.129.7.6,19,1209,Imported Energy CH1 (MSW),100126.4921875
2025-07-14 07:49:33 AM,PM Autoclave 5,10.129.7.10,6,1209,Imported Energy CH1 (MSW),221485.953125
2025-07-14 07:51:12 AM,PM Autoclave 10,10.129.7.15,20,1209,Imported Energy CH1 (MSW),367988.28125
2025-07-14 07:51:12 AM,PM Autoclave 9,10.129.7.14,23,1209,Imported Energy CH1 (MSW),284525.75
2025-07-14 07:51:12 AM,PM C1L1 Substation,10.129.7.21,3,1209,Imported Energy CH1 (MSW),37221.04296875
2025-07-14 07:51:12 AM,PM C1L2 Substation,10.129.7.22,4,1209,Imported Energy CH1 (MSW),102991.0
2025-07-14 07:51:12 AM,PM Autoclave 2,10.129.7.8,7,1209,Imported Energy CH1 (MSW),4691.5732421875
2025-07-14 07:51:12 AM,PM C2L Substation,10.129.7.24,9,1209,Imported Energy CH1 (MSW),89790.9609375
2025-07-14 07:51:12 AM,PM Drop Bottom,10.129.7.16,15,1209,Imported Energy CH1 (MSW),273344.71875
2025-07-14 07:51:12 AM,PM Autoclave 1,10.129.7.6,19,1209,Imported Energy CH1 (MSW),100126.5078125
2025-07-14 07:51:13 AM,PM Autoclave 4,10.129.7.9,18,1209,Imported Energy CH1 (MSW),43289.203125
2025-07-14 07:51:13 AM,PM Autoclave 5,10.129.7.10,6,1209,Imported Energy CH1 (MSW),221485.953125
2025-07-14 07:51:13 AM,PM A1 Substation,10.129.7.17,14,1209,Imported Energy CH1 (MSW),3078870.0
2025-07-14 07:51:13 AM,PM A3 Substation,10.129.7.18,16,1209,Imported Energy CH1 (MSW),1359772.0
2025-07-14 07:51:13 AM,PM C2P Substation,10.129.7.25,5,1209,Imported Energy CH1 (MSW),70942.4375
2025-07-14 07:52:52 AM,PM C1L1 Substation,10.129.7.21,3,1209,Imported Energy CH1 (MSW),37221.1640625
2025-07-14 07:52:52 AM,PM B3 Substation,10.129.7.20,13,1209,Imported Energy CH1 (MSW),845407.125
2025-07-14 07:52:52 AM,PM C2L Substation,10.129.7.24,9,1209,Imported Energy CH1 (MSW),89791.390625
2025-07-14 07:52:52 AM,PM Autoclave 5,10.129.7.10,6,1209,Imported Energy CH1 (MSW),221485.953125
2025-07-14 07:52:52 AM,PM Autoclave 2,10.129.7.8,7,1209,Imported Energy CH1 (MSW),4691.59912109375
2025-07-14 07:52:52 AM,PM Autoclave 10,10.129.7.15,20,1209,Imported Energy CH1 (MSW),367989.125
2025-07-14 07:52:52 AM,PM Autoclave 4,10.129.7.9,18,1209,Imported Energy CH1 (MSW),43289.3046875
2025-07-14 07:52:52 AM,PM C2P Substation,10.129.7.25,5,1209,Imported Energy CH1 (MSW),70942.734375
2025-07-14 07:52:52 AM,PM A3 Substation,10.129.7.18,16,1209,Imported Energy CH1 (MSW),1359773.75
2025-07-14 07:52:52 AM,PM A1 Substation,10.129.7.17,14,1209,Imported Energy CH1 (MSW),3078872.5
2025-07-14 07:52:52 AM,PM Drop Bottom,10.129.7.16,15,1209,Imported Energy CH1 (MSW),273345.46875
2025-07-14 07:52:52 AM,PM Autoclave 9,10.129.7.14,23,1209,Imported Energy CH1 (MSW),284526.59375
2025-07-14 07:52:52 AM,PM C1L2 Substation,10.129.7.22,4,1209,Imported Energy CH1 (MSW),102991.140625
2025-07-14 07:52:52 AM,PM Autoclave 1,10.129.7.6,19,1209,Imported Energy CH1 (MSW),100126.53125
2025-07-14 07:54:21 AM,PM Autoclave 5,10.129.7.10,6,1209,Imported Energy CH1 (MSW),221485.953125
2025-07-14 07:54:21 AM,PM Drop Bottom,10.129.7.16,15,1209,Imported Energy CH1 (MSW),273346.09375
2025-07-14 07:54:21 AM,PM B3 Substation,10.129.7.20,13,1209,Imported Energy CH1 (MSW),845407.8125
2025-07-14 07:54:21 AM,PM Autoclave 3,10.129.7.7,17,1209,Imported Energy CH1 (MSW),34312.46484375
2025-07-14 07:54:21 AM,PM Autoclave 4,10.129.7.9,18,1209,Imported Energy CH1 (MSW),43289.40234375
2025-07-14 07:54:21 AM,PM Autoclave 1,10.129.7.6,19,1209,Imported Energy CH1 (MSW),100126.546875
2025-07-14 07:54:21 AM,PM Autoclave 6,10.129.7.11,22,1209,Imported Energy CH1 (MSW),76267.8984375
2025-07-14 07:54:21 AM,PM C1L2 Substation,10.129.7.22,4,1209,Imported Energy CH1 (MSW),102991.265625
2025-07-14 07:54:21 AM,PM Autoclave 10,10.129.7.15,20,1209,Imported Energy CH1 (MSW),367990.125
2025-07-14 07:54:21 AM,PM C1L1 Substation,10.129.7.21,3,1209,Imported Energy CH1 (MSW),37221.26953125
