Timestamp,Description,IP,Slave,Register,Register_Name,Value
2025-06-13 15:15:48,PM C1L1 Substation,10.129.7.21,3,1165,Line Frequency (MSW),60.094032287597656
2025-06-13 15:15:48,PM C1L2 Substation,10.129.7.22,4,1165,Line Frequency (MSW),60.05680465698242
2025-06-13 15:15:48,PM C2P Substation,10.129.7.25,5,1165,Line Frequency (MSW),60.03880310058594
2025-06-13 15:15:48,PM Autoclave 5,10.129.7.10,6,1165,Line Frequency (MSW),60.09766387939453
2025-06-13 15:15:48,PM Autoclave 2,10.129.7.8,7,1165,Line Frequency (MSW),60.176334381103516
2025-06-13 15:15:48,PM Autoclave 8,10.129.7.13,8,1165,Line Frequency (MSW),60.06127166748047
2025-06-13 15:15:48,PM C2L Substation,10.129.7.24,9,1165,Line Frequency (MSW),60.23368453979492
2025-06-13 15:15:48,PM C1A Substation,10.129.7.23,11,1165,Line Frequency (MSW),60.2135009765625
2025-06-13 15:15:48,PM B2 Substation,10.129.7.19,12,1165,Line Frequency (MSW),60.04920959472656
2025-06-13 15:15:48,PM B3 Substation,10.129.7.20,13,1165,Line Frequency (MSW),60.11895751953125
2025-06-13 15:15:48,PM A1 Substation,10.129.7.17,14,1165,Line Frequency (MSW),60.12230682373047
2025-06-13 15:15:48,PM Drop Bottom,10.129.7.16,15,1165,Line Frequency (MSW),60.11688995361328
2025-06-13 15:15:48,PM A3 Substation,10.129.7.18,16,1165,Line Frequency (MSW),60.23894119262695
2025-06-13 15:15:48,PM Autoclave 3,10.129.7.7,17,1165,Line Frequency (MSW),60.0
2025-06-13 15:15:48,PM Autoclave 1,10.129.7.6,19,1165,Line Frequency (MSW),60.2357063293457
2025-06-13 15:15:49,PM Autoclave 10,10.129.7.15,20,1165,Line Frequency (MSW),60.205989837646484
2025-06-13 15:15:49,PM Autoclave 6,10.129.7.11,22,1165,Line Frequency (MSW),60.006126403808594
2025-06-13 15:15:49,PM Autoclave 9,10.129.7.14,23,1165,Line Frequency (MSW),60.180545806884766
2025-06-13 15:15:49,PM Autoclave 4,10.129.7.9,18,1165,Line Frequency (MSW),60.058143615722656
